Transaction Name,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industry,Diversity Spotlight (US Only),Organization Website,Organization Location,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Rounds)
Series A - Inherent Biosciences,Inherent Biosciences,Series A,,2022-09-05,Early Stage Venture,,Yes,Inherent Biosciences is a molecular diagnostics company that revolutionizes trial and error medicine and restore hope.,"Biotechnology, Health Care, Therapeutics",,www.inherentbio.com/,"Salt Lake City, Utah, United States, North America",,"$255,959.0",Early Stage Venture,4,Propel Bio Partners,"Alliance of Angels, Portfolia, Propel Bio Partners",3,,490
Series A - Josys,Josys,Series A,"$30,766,137.6",2022-09-06,Early Stage Venture,,Yes,Josys is the Japanese B2B SaaS platform that streamlines and automates corporate IT operations.,"B2B, Information Technology, SaaS",,josys.com/,"Tokyo, Tokyo, Japan, Asia",,"$30,766,137.6",Early Stage Venture,1,Global Brain Corporation,"ANRI, Digital Holdings, Global Brain Corporation, World Innovation Lab (WiL), Yamauchi-No.10 Family Office",5,,491
Pre Seed Round - SageWealth,SageWealth,Pre-Seed,"$349,803.1495",2022-08-24,Seed,,Yes,"SageWealth focuses on sustainability, including growth-focused equity-based and safety-focused bond and commodity-based options.","Finance, Financial Services, FinTech, Impact Investing, Sustainability",,sagefund.eu,"Berlin, Berlin, Germany, Europe",,"$499,718.785",Seed,3,Till Behnke,"Aleksandar Orlic, Hans Raffauf, Marie Louise Seelig, Marta Ra, Till Behnke",5,,492
Series A - CareHarmony,CareHarmony,Series A,"$15,000,000.0",2022-08-15,Early Stage Venture,,Yes,CareHarmony is the premier provider of technology-enabled care coordination services for chronic disease management.,"Health Care, Information Technology, Medical",,care-harmony.com,"Brentwood, Tennessee, United States, North America",$1M to $10M,"$17,000,000.0",Early Stage Venture,2,Maverick Ventures,"Maverick Ventures, Nashville Capital Network",2,,493
Seed Round - Remedium Bio,Remedium Bio,Seed,"$2,300,000.0",2022-08-15,Seed,,Yes,Remedium Bio is a gene therapy company focused on the development of highly innovative treatments for a broad range of diseases.,"Biotechnology, Health Care, Therapeutics",,remedium-bio.com/,"Needham, Massachusetts, United States, North America",,"$2,300,000.0",Seed,2,Sherwood Ventures,"Angel Star Ventures, Apis Health Angels, Guindy Alumni Angels, Longevitytech.fund, MicroVentures, Primo Medical Group, Sherwood Ventures",7,,494
Series A - Bacon,Bacon,Series A,"$8,000,000.0",2022-08-04,Early Stage Venture,,Yes,Bacon helps companies find qualified workers to fill shifts on short notice using an app.,"Apps, Human Resources, Information Technology, Internet",,www.bacon.work,"Provo, Utah, United States, North America",,"$15,000,000.0",Early Stage Venture,4,"2.0 Ventures, Grayhawk Capital","2.0 Ventures, Assure Syndicates, Elevate Capital, Grayhawk Capital, Hall Venture Partners",5,,495
Seed Round - Ordaos Bio,Ordaos Bio,Seed,"$5,000,000.0",2022-08-25,Seed,,Yes,Ordaōs creates bespoke mini-proteins to help drug hunters deliver life-saving treatments.,"Biotechnology, Life Science, Medical",,ordaos.bio,"Manhattan, New York, United States, North America",,"$10,600,000.0",Seed,4,Middleland Capital,"Banyan Pacific, Citta Capital, IAG Capital Partners, Middleland Capital, Route 66 Ventures",5,,496
Series A - 91Squarefeet,91Squarefeet,Series A,"$10,000,000.0",2022-09-09,Early Stage Venture,"$20,500,000.0",Yes,91Squarefeet is a retail design and development company that helps offline businesses scale up.,"Business Development, Retail, Retail Technology",,www.91squarefeet.com/,"Gurgaon, Haryana, India, Asia",,"$12,010,362.0",Early Stage Venture,3,Stellaris Venture Partners,"Betatron Venture Group, Stellaris Venture Partners, Y Combinator",3,,497
Secondary Market - FromSoftware,FromSoftware,Secondary Market,"$254,516,719.06320003",2022-08-31,,"$584,365,018.1242653",No,"FromSoftware is a video game development company focusing on games for PlayStation, Xbox, Nintendo, Windows, and Wii platforms.","Console Games, Developer Tools, eSports, Gaming, Information Technology, Video Games",,www.fromsoftware.jp/jp/,"Tokyo, Tokyo, Japan, Asia",,"$254,516,719.06320003",,1,"Sixjoy, Sony Interactive Entertainment","Sixjoy, Sony Interactive Entertainment",2,,498
Debt Financing - Yieldstreet,Yieldstreet,Debt Financing,"$400,000,000.0",2022-08-10,,,No,Yieldstreet is an alternative investments platform that provides retail investors with access to income-generating investment products.,"Finance, Financial Services, FinTech, Wealth Management",,www.yieldstreet.com,"New York, New York, United States, North America",$50M to $100M,"$728,500,000.0",Late Stage Venture,8,Monroe Capital,Monroe Capital,1,,499
Pre Seed Round - Zevi,Zevi,Pre-Seed,"$850,000.0",2022-09-06,Seed,,Yes,"Zevi is a search engine with natural language processing at its core, along with vernacular support.","Computer, Service Industry, Software",,www.zevi.ai/,"Bengaluru, Karnataka, India, Asia",,"$905,000.0",Seed,3,"Entrepreneur First, Kube VC, Titan Capital, Veda VC, WEH Ventures","Entrepreneur First, Kube VC, Titan Capital, Veda VC, WEH Ventures",5,,500
Series A - Quotabook,Quotabook,Series A,"$11,000,000.0",2022-08-16,Early Stage Venture,,Yes,Quotabook is a company that specializes in equity management.,"Developer Platform, Financial Services, FinTech",,quotabook.com/,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",$10M to $50M,"$16,000,000.0",Early Stage Venture,4,Elefund,"Access Ventures, Capstone Partners Co., Ltd., Draper Associates, Elefund, Hana Financial Investment, Toss",6,,501
Series A - Lytica,Lytica,Series A,"$9,821,545.110000001",2022-08-30,Early Stage Venture,,Yes,"Lytica is a supply chain analytics SaaS provider to electronics companies focusing on supply chain cost, security of supply and compliance.","Big Data, Electronics, Predictive Analytics, SaaS, Software, Supply Chain Management",,www.lytica.com,"Ottawa, Ontario, Canada, North America",,"$12,510,866.0",Early Stage Venture,4,Resolve Growth Partners,"Resolve Growth Partners, York IE",2,,502
Seed Round - Slide,Slide,Seed,"$12,300,000.0",2022-09-08,Seed,,Yes,Slide enables dApps to serve effortless web3 experiences to everyday users.,"Apps, Blockchain, Enterprise Software",,slide.so,"New York, New York, United States, North America",,"$12,300,000.0",Seed,1,"Framework Ventures, Polychain","Akash Garg, Ani Pai, Balaji Srinivasan, Circle, Coinbase Ventures, Framework Ventures, Imran Khan, Justin David Blau, Outlander VC, Polychain, Qiao Wang, Raouf Ben-Har, Shayne Coplan",13,,503
Seed Round - Monod Bio,Monod Bio,Seed,"$25,000,000.0",2022-08-15,Seed,,Yes,Monod Bio is a life sciences company developing biosensors for protein and other analyte detection.,"Biotechnology, Health Care, Life Science, Medical",,www.monod.bio/,"Seattle, Washington, United States, North America",$1M to $10M,"$25,000,000.0",Seed,1,Matrix Capital Management,"Boom Capital, Cercano Management, Global Health Investment Fund (GHIF), Matrix Capital Management, Pack Ventures, Sahsen Ventures, Washington Research Foundation",7,,504
Seed Round - Muninn,Muninn,Seed,"$2,498,593.925",2022-08-29,Seed,,Yes,Muninn is AI technology that empower companies to protect their critical digital assets and infrastructures from cyber-criminals.,"Cyber Security, Information Technology, Software",,www.muninn.ai,"Copenhagen, Hovedstaden, Denmark, Europe",,"$2,502,725.0",Seed,2,Luminar Ventures,"Luminar Ventures, PreSeed Ventures",2,,505
Seed Round - Datawisp,Datawisp,Seed,"$3,600,000.0",2022-08-11,Seed,,Yes,Datawisp is a no-code data exploration and analysis platform for web3 and web2.,"Analytics, Business Intelligence, Data Visualization, Software",,www.datawisp.io,"New York, New York, United States, North America",,"$4,035,000.0",Seed,2,CoinFund,"CoinFund, DWeb3 Capital, Mirana Ventures, Play Ventures, Spartan Capital",5,,506
Venture Round - Kterio,Kterio,Venture - Series Unknown,"$10,000,000.0",2022-08-30,,,Yes,Kterio is the leading provider of data-driven services for real estate portfolio owners.,Software,,kterio.com/,"Warrington, Warrington, United Kingdom, Europe",,"$10,000,000.0",,1,Round Hill Ventures,"Brighton Ventures, Round Hill Ventures",2,,507
Series A - Jodo,Jodo,Series A,"$15,000,000.0",2022-08-08,Early Stage Venture,"$75,000,000.0",Yes,Jodo is a mission-oriented fintech company which is building customized financial products for middle-income households in urban India.,"Financial Services, FinTech",,www.jodo.in,"Bangalore, Karnataka, India, Asia",$1M to $10M,"$18,814,000.0",Early Stage Venture,2,Tiger Global Management,"Elevation Capital, Matrix Partners India, Tiger Global Management",3,,508
Seed Round - Duel,Duel,Seed,"$2,864,650.75",2022-08-23,Seed,,Yes,Brand Advocacy Platform that enables purpose-led brands to drive organic growth &amp; retention through word-of-mouth &amp; advocacy,"Advertising, Brand Marketing, Consumer Reviews, Content, Content Marketing, E-Commerce Platforms, Marketing Automation, Personalization, Retail Technology",,duel.tech,"London, England, United Kingdom, Europe",,"$5,302,662.0",Seed,4,SuperSeed Ventures,SuperSeed Ventures,1,,509
Venture Round - ClearMotion,ClearMotion,Venture - Series Unknown,"$39,000,000.0",2022-09-07,,,Yes,ClearMotion is a global automotive technology company that commercializes a proactive ride system.,"Automotive, Autonomous Vehicles, Software, Transportation",,www.clearmotion.com/,"Billerica, Massachusetts, United States, North America",$10M to $50M,"$317,800,000.0",,8,NIO Capital,"Acadia Woods Partners, BAI capital, Franklin Templeton Investments, NewView Capital, NIO Capital",5,,510
Venture Round - AgronetPRO,AgronetPRO,Venture - Series Unknown,"$211,600.75",2022-08-23,,,Yes,Agritech IoT SAAS company helping farmers take better decisions based on live data from the field,"Agriculture, AgTech, Artificial Intelligence, Farming, Internet of Things, SaaS",,www.agronetpro.com,"Warsaw, Mazowieckie, Poland, Europe",,"$558,764.0",,3,Unfold.vc,Unfold.vc,1,,511
Seed Round - RecruitLab,RecruitLab,Seed,"$1,898,931.383",2022-08-17,Seed,,Yes,RecruitLab is a recruiter-centric marketing and applicant tracking software.,"Human Resources, Marketing Automation, Recruiting, Software",,recruitlab.co.uk/,"Tallinn, Harjumaa, Estonia, Europe",,"$2,198,762.654",Seed,2,Change Ventures,"BADideas.fund, Change Ventures, Fund Fellow Founders, StartupIst VC",4,,512
Post-IPO Debt - Fire &amp; Flower,Fire &amp; Flower,Post-IPO Debt,"$5,000,000.0",2022-08-25,,,No,Fire &amp; Flower is an adult-use cannabis retailer that guides consumers through education-focused retailing.,"Cannabis, Retail",,fireandflower.com,"Edmonton, Alberta, Canada, North America",$10M to $50M,"$97,148,411.0",IPO,5,,,,,513
Debt Financing - Moneyflow,Moneyflow,Debt Financing,"$249,859,392.5",2022-09-01,,,No,Moneyflow provides flexibility to payment services.,"Finance, Financial Services",,moneyflow.io/,"Copenhagen, Hovedstaden, Denmark, Europe",,"$249,859,392.5",,1,Aion Bank,Aion Bank,1,,514
Venture Round - Limit Break,Limit Break,Venture - Series Unknown,"$200,000,000.0",2022-08-29,,,Yes,Limit Break is a blockchain game company.,"Blockchain, Gaming",,,,,"$200,000,000.0",,1,,"Anthos Capital, Buckley Ventures, Coinbase Ventures, FTX, Paradigm Ventures, Positive Sum, Shervin Pishevar, Standard Crypto, SV Angel",9,,515
Series A - BioBetter,BioBetter,Series A,"$10,000,000.0",2022-09-07,Early Stage Venture,,Yes,BioBetter is a foodtech company that develops plant-based platforms for the production of complex growth factors used in cultivated meat.,"Biotechnology, Life Science, Organic Food",,biobetter.bio/,"Qiryat Shmona, HaZafon, Israel, Asia",,"$10,000,000.0",Early Stage Venture,1,Jerusalem Venture Partners (JVP),"Israel Innovation Authority, Jerusalem Venture Partners (JVP), Milk and Honey Investments",3,,516
Series B - Terabase Energy,Terabase Energy,Series B,"$44,000,000.0",2022-08-02,Early Stage Venture,,Yes,Terabase Energy is a web-based tool that reduces cost and deployment timelines by digitalizing the solar power plant.,"Energy, Software, Solar",,www.terabase.energy/,"Berkeley, California, United States, North America",,"$50,000,000.0",Early Stage Venture,3,"Breakthrough Energy Ventures, Prelude Ventures","Breakthrough Energy Ventures, Prelude Ventures, SJF Ventures",3,,517
Series A - Daalchini Technologies,Daalchini Technologies,Series A,"$4,000,000.0",2022-09-07,Early Stage Venture,,Yes,"Daalchini provides affordable, quality home-food instantly via smart vending machines.",Food and Beverage,,www.daalchini.co.in/,"New Delhi, Delhi, India, Asia",,"$5,668,941.0",Early Stage Venture,4,Unicorn India Ventures,"Ajay Kaul, Artha India Ventures, Unicorn India Ventures, VSS Investco",4,,518
Series C - Vestaron,Vestaron,Series C,"$10,000,000.0",2022-08-25,Late Stage Venture,,Yes,"Vestaron produces insecticides for agriculture, animal health, non-crop, and commercial pest control applications.","Agriculture, Biotechnology, Farming",Women Led,www.vestaron.com,"Durham, North Carolina, United States, North America",$1M to $10M,"$264,920,653.0",Late Stage Venture,15,Grosvenor Food &amp; AgTech,"Argonautic Ventures, Cavallo Ventures, Continental Grain Company, Endeavor8, Fortistar, Grosvenor Food &amp; AgTech, iSELECT FUND, Northpond Ventures, Novo Holdings, Ordway Selections, Syngenta Ventures",11,,519
Series A - Talon Cyber Security,Talon Cyber Security,Series A,"$100,000,000.0",2022-08-04,Early Stage Venture,,Yes,Talon Cyber Security provides cybersecurity solutions for the distributed workforce.,"Cyber Security, Information Technology, Software, Web Browsers",,talon-sec.com/,"Tel Aviv, Tel Aviv, Israel, Asia",$1M to $10M,"$143,000,000.0",Early Stage Venture,3,Evolution Equity Partners,"Ballistic Ventures, CrowdStrike Falcon Fund, Evolution Equity Partners, George Kurtz, Lightspeed Venture Partners, Merlin Ventures, Sorenson Ventures, SYN Ventures, Team8",9,,520
Series A - Hoopo,Hoopo,Series A,"$10,000,000.0",2022-08-11,Early Stage Venture,,Yes,"Hoopo enables geolocation for low-power, wide-area networks, and solutions that transforms unpowered assets into connected fleets.","Analytics, Internet of Things, Logistics, Real Time, Transportation",,hoopo.tech/,"Glil Yam, Tel Aviv, Israel, Asia",$1M to $10M,"$15,000,000.0",Early Stage Venture,5,"theDOCK, ZIM Integrated Shipping Services","HICO, TAU Ventures, theDOCK, ZIM Integrated Shipping Services",4,,521
Venture Round - WiTricity,WiTricity,Venture - Series Unknown,"$63,000,000.0",2022-08-09,,,Yes,WiTricity Corporation provides technology to enable wireless power transfer over distance using magnetic resonance.,"CleanTech, Electrical Distribution, Wireless",,www.witricity.com,"Watertown, Massachusetts, United States, North America",$10M to $50M,"$176,000,000.0",,9,,"Air Waves Wireless Electricity, Delta Electronics Capital, Japan Energy Fund, Mirae Asset Capital, Stage 1 Ventures",5,,522
Series B - Yulu,Yulu,Series B,"$81,760,902.36",2022-09-12,Early Stage Venture,,Yes,Yulu is a micro-mobility platform powered by shared electric two-wheelers aiming to reduce traffic congestion and air pollution in India.,"Electric Vehicle, Ride Sharing, Sharing Economy, Transportation",,www.yulu.bike,"Bangalore, Karnataka, India, Asia",,"$109,122,844.0",Early Stage Venture,6,Magna International,"Bajaj Auto Finance, Magna International",2,,523
Venture Round - Rupeek,Rupeek,Venture - Series Unknown,"$16,000,000.0",2022-09-07,,,Yes,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Financial Services, Internet, Lending",,rupeek.com/,"Bangalore, Karnataka, India, Asia",$1M to $10M,"$188,830,000.0",,8,,"Accel India, Bertelsmann, Sequoia Capital, ZNL Growth",4,,524
Seed Round - Ultrade,Ultrade,Seed,"$2,400,000.0",2022-09-06,Seed,,Yes,Ultrade offers comprehensive DeFi suite of applications and DeFi as a Service technology on Algorand Layer-1.,"Blockchain, Enterprise Software",,ultrade.org/,"New York, New York, United States, North America",,"$2,400,000.0",Seed,1,Algorand Foundation,"Algorand Foundation, Big Brain Holdings, Sarson Funds, Tess Ventures, Valhalla Capital",5,,525
Grant - Manus Bio,Manus Bio,Grant,"$2,000,000.0",2022-08-31,,,No,Manus Bio makes nature accessible and affordable for a growing society.,"Biopharma, Biotechnology, Food and Beverage","South Asian Founded, South Asian Led, Southeast Asian Led",www.manusbio.com,"Cambridge, Massachusetts, United States, North America",$1M to $10M,"$98,574,999.0",Early Stage Venture,14,Bill &amp; Melinda Gates Foundation,Bill &amp; Melinda Gates Foundation,1,,526
Series A - Edamama,Edamama,Series A,"$20,000,000.0",2022-08-12,Early Stage Venture,,Yes,Edamama is a Philippine based e-commerce platform designed for mothers.,"Consumer Goods, E-Commerce, Retail",,www.edamama.ph/,"Philippine, Benguet, Philippines, Asia",,"$25,000,000.0",Early Stage Venture,3,Alpha JWC Ventures,"Alpha JWC Ventures, Foxmont Capital Partners, Gentree Fund, InnoVen Capital, Kickstart Ventures, Lisa Gokongwei, New Day Ventures",7,,527
Seed Round - Wreno,Wreno,Seed,"$5,000,000.0",2022-08-31,Seed,,Yes,Wreno provides high-paying home service jobs and required training across.,"Home Services, Real Estate",,www.wreno.io/,"Scottsdale, Arizona, United States, North America",,"$6,100,000.0",Seed,2,Lerer Hippeau,"Alexey Dubov, Fifth Wall, Lerer Hippeau, NFX, Owl Ventures, Sam Ruben, Vikas Choudhary",7,,528
Seed Round - SessionGuardian,SessionGuardian,Seed,"$3,000,000.0",2022-09-08,Seed,,Yes,SessionGuardian is the market pioneer in identity access control and authentication for hybrid teams working with extremely sensitive data.,Software,,www.sessionguardian.com/,"New York, New York, United States, North America",,"$3,000,000.0",Seed,1,Phase 2 Investments,"Ben Franklin Technology Partners, Phase 2 Investments, Robin Hood Ventures",3,,529
Series B - Afresh,Afresh,Series B,"$115,000,000.0",2022-08-04,Early Stage Venture,,Yes,Afresh is an AI-powered company selling software to track demand and manage orders for fresh produce in grocery stores.,"Agriculture, Artificial Intelligence, Food and Beverage, Logistics, Supply Chain Management",,afresh.com,"San Francisco, California, United States, North America",,"$147,790,000.0",Early Stage Venture,5,"Spark Capital, Walter Robb","Bright Pixel, HighSage Ventures, Innovation Endeavors, Insight Partners, Ischyros New York, Maersk Growth, Spark Capital, VMG Partners, Walter Robb",9,,530
Seed Round - Sport Buff,Sport Buff,Seed,"$2,406,306.63",2022-08-22,Seed,,Yes,Sport Buff is a real-time fan engagement broadcast media for next-generation gamification.,"Broadcasting, Gamification, Gaming, Media and Entertainment, Real Time",,sportbuff.com,"London, England, United Kingdom, Europe",,"$2,470,754.0",Seed,2,Sport Republic,"Calvert Drive, Intrepid ventures, Longboard Capital, Matthew Benham, Sport Republic",5,,531
Venture Round - Spearix Technologies,Spearix Technologies,Venture - Series Unknown,,2022-08-31,,,Yes,Spearix Technologies is an early stage startup realizing hardware and software technology.,"Hardware, Wireless",,spearix.com,"Austin, Texas, United States, North America",,,,1,Emerson Ventures,Emerson Ventures,1,,532
Grant - Arcturus Therapeutics,Arcturus Therapeutics,Grant,"$63,200,000.0",2022-08-31,,,No,Arcturus Therapeutics focuses on developing novel RNA therapeutics for the treatment of various rare diseases.,"Biotechnology, Genetics, Health Care, Medical, Therapeutics",,arcturusrx.com,"San Diego, California, United States, North America",$1M to $10M,"$365,580,050.0",IPO,7,Biomedical Advanced Research and Development Authority (BARDA),Biomedical Advanced Research and Development Authority (BARDA),1,,533
Series B - Sironax,Sironax,Series B,"$200,000,000.0",2022-08-02,Early Stage Venture,,Yes,Sironax is a clinical-stage biotechnology company that develops novel products and treatments for age-related degenerative diseases.,"Biotechnology, Health Care, Pharmaceutical, Therapeutics",,www.sironax.com.cn,"Beijing, Beijing, China, Asia",,"$301,000,000.0",Early Stage Venture,3,"Gaorong Capital, YF Capital","ARCH Venture Partners, CBC Group, Eight Roads Ventures, F-Prime Capital, Future Innovation Fund, Gaorong Capital, Invus, K2 Venture Capital, Long River Investments, LSV Capital, MSA Capital, Superstring Capital, Temasek Holdings, YF Capital",14,,534
Seed Round - CompScience,CompScience,Seed,"$6,000,000.0",2022-08-16,Seed,,Yes,CompScience makes your workplace safer and lowers your rates with the only AI-powered workers' comp policy on the market.,"Artificial Intelligence, Commercial Insurance, Computer Vision, Industrial, Insurance, InsurTech, Internet of Things, Machine Learning, Software",,www.compscience.com,"San Francisco, California, United States, North America",$1M to $10M,"$10,000,000.0",Seed,2,,"Hustle Fund, Pathbreaker Ventures, Preface Ventures, Working Capital Fund",4,,535
Series B - Open Raven,Open Raven,Series B,"$20,000,000.0",2022-09-08,Early Stage Venture,,Yes,"Open Raven is the data security posture management company that prevents leaks, breaches, and compliance incidents.","Cyber Security, Network Security",,www.openraven.com/,"Los Angeles, California, United States, North America",,"$39,100,000.0",Early Stage Venture,3,Pelion Venture Partners,"Kleiner Perkins, Pelion Venture Partners, Upfront Ventures",3,,536
Seed Round - Forward,Forward,Seed,"$5,000,000.0",2022-09-12,Seed,,Yes,Forward is the leading derivative platform in decentralized space. We build top trends technology and platforms in the cryptocurrency space.,"Cryptocurrency, Finance, Financial Services, Information Services, Information Technology",,forward.market,"Bangkok, Krung Thep, Thailand, Asia",,"$10,000,000.0",Seed,3,Primestreet Capital,"Beacon Venture Capital, Genesis Block Ventures (GBV), Kasikorn X, Krungsri Finnovate, Primestreet Capital, Ratanakorn Technology Group, Varys Capital, Zipmex",8,,537
Seed Round - BlueTape,BlueTape,Seed,"$5,000,000.0",2022-08-19,Seed,,Yes,"BlueTape is a payment and financing platform for the construction industry, offering a “Buy Now, Pay Later” solution for building materials.","Construction, Finance, Financial Services, FinTech, Payments",,bluetape.com,"San Francisco, California, United States, North America",,"$55,125,000.0",Seed,3,Chicago Ventures,"Chicago Ventures, Plug N Play Ventures",2,,538
Corporate Round - MyHealthMath,MyHealthMath,Corporate Round,,2022-08-30,,,Yes,MyHealthMath is an insurtech startup emerging from stealth mode.,Information Technology,,www.myhealthmath.com/,"Portland, Maine, United States, North America",$1M to $10M,"$4,300,000.0",,7,AccuRisk,AccuRisk,1,,539
Pre Seed Round - promiseQ,promiseQ,Pre-Seed,,2022-08-23,Seed,,Yes,promiseQ offers the exceptional confluence of cutting-edge AI &amp; certified crowd workers.,"Artificial Intelligence, Machine Learning",,www.promiseq.com/,"Berlin, Berlin, Germany, Europe",,,Seed,1,APX,"APX, René Helbig",2,,540
Series A - Boopos,Boopos,Series A,"$8,000,000.0",2022-09-01,Early Stage Venture,,Yes,Boopos operates a tech-enabled lending platform for acquiring small businesses.,"Finance, Financial Services, FinTech, Small and Medium Businesses",,www.boopos.com/,"Miami, Florida, United States, North America",,"$90,000,000.0",Early Stage Venture,5,Bonsai Partners,"Actyus, Bonsai Partners, Fasanara Capital, K Fund, Noa Capital",5,,541
Venture Round - Versa Asia,Versa Asia,Venture - Series Unknown,,2022-09-05,,,Yes,"Versa, a digital cash management platform, is here to turn dormant cash into money-earning potential through return rates.","Apps, Financial Services, FinTech",,versa.com.my/,"Kuala Lumpur, Kuala Lumpur, Malaysia, Asia",,,,1,Hibiscus Fund,"Affin Hwang Asset Management, Hibiscus Fund, HPRY Ventures, OSK Ventures International",4,,542
Series A - Sunwoda Electric Vehicle Battery,Sunwoda Electric Vehicle Battery,Series A,"$859,235,700.0",2022-08-17,Early Stage Venture,"$3,293,736,850.0",Yes,Sunwoda Electric Vehicle Batter provides electric vehicle battery pack solutions for new energy vehicle companies.,Battery,,www.sunwoda-evb.com/index.jhtml,"Shanghai, Shanghai, China, Asia",,"$859,235,700.0",Early Stage Venture,1,"Broad Vision Funds, Co-Stone Venture Capital, Meituan, Shenzhen Capital Group, Source Code Capital, Yingke Capital","Broad Vision Funds, Co-Stone Venture Capital, Meituan, National Green Development Fund, Shenzhen Capital Group, Source Code Capital, Yingke Capital",7,,543
Initial Coin Offering - Everdome,Everdome,Initial Coin Offering,"$10,000,000.0",2022-08-09,,,Yes,"Everdome will provide a destination for Metahero's remarkable technology to live, interact, and flourish.",Information Technology,,everdome.io/,,,"$10,000,000.0",,1,GEM Digital Ltd.,GEM Digital Ltd.,1,,544
Series D - Bike Bazaar,Bike Bazaar,Series D,"$21,285,380.400000002",2022-09-01,Late Stage Venture,"$68,700,000.0",Yes,Bike Bazaar is a finance company that specializes in financing pre-owned and new Two-Wheelers.,"Automotive, Financial Services, FinTech, Transportation",,www.wheelsemi.com,"Pune, Maharashtra, India, Asia",,"$84,699,206.0",Late Stage Venture,5,Women's World Banking,"Elevar Equity, Faering Capital, Women's World Banking",3,,545
Seed Round - Outpost,Outpost,Seed,"$7,100,000.0",2022-08-30,Seed,,Yes,Outpost is the sustainable space company. We enable precision Earth Return of satellites and orbital payload missions.,Aerospace,,outpost.space/,"Los Angeles, California, United States, North America",,"$7,100,000.0",Seed,2,Moonshots Capital,"AIR Capital, Draper Associates, KittyHawk Ventures, Moonshots Capital, Shasta Ventures, Starburst Ventures, Starlight Ventures",7,,546
Series A - SynSaber,SynSaber,Series A,"$13,000,000.0",2022-08-18,Early Stage Venture,,Yes,"See, Know, and Defend Your Industrial Environment","Cyber Security, Industrial",,synsaber.com,"Chandler, Arizona, United States, North America",,"$15,500,000.0",Early Stage Venture,2,SYN Ventures,"Cyber Mentor Fund, Rally Ventures, SYN Ventures",3,,547
Seed Round - Bounty,Bounty,Seed,"$5,000,000.0",2022-08-02,Seed,,Yes,Bounty helps real customers get paid for sharing products they love on TikTok.,"Information Technology, Internet",,www.bounty.co/,"Los Angeles, California, United States, North America",,"$5,000,000.0",Seed,1,M13,"BDMI, Fabletics, Interlace Ventures, M13, Pentas Ventures, StackCommerce, Sugar Capital",7,,548
Series A - Biotia,Biotia,Series A,"$8,000,000.0",2022-08-23,Early Stage Venture,,Yes,Biotia is a health tech startup offering AI-based solutions to diagnose and control infectious disease.,"Artificial Intelligence, Bioinformatics, Biotechnology, Genetics, Health Care, Machine Learning, Software","Women Founded, Women Led",biotia.io,"New York, New York, United States, North America",$1M to $10M,"$10,400,000.0",Early Stage Venture,6,OCA Ventures,"Continuum Health Ventures, DigitalDx Ventures, Falcon Ventures, Hyperplane Venture Capital, Leawood Venture Capital, Mayo Clinic Platform, OCA Ventures, Phoenix Venture Partners, SeedToB Capital, SK Square Americas, SpringTide Ventures, Tau Ventures",12,,549
Venture Round - SunRoof,SunRoof,Venture - Series Unknown,"$14,991,563.55",2022-09-12,,,Yes,SunRoof is a start-up developing fully solar 2-in-1 roofs and façades as well as solutions to support smart energy management.,"Electrical Distribution, Energy, Energy Efficiency, Energy Storage, Renewable Energy, Solar",,www.sunroof.se/,"Stockholm, Stockholms Lan, Sweden, Europe",,"$22,995,526.0",,5,Alantra,"Alantra, Alfabeat, Inovo Venture Partners, Jon Olsson, Level2 Ventures, SMOK Ventures",6,,550
Venture Round - Keen Technologies,Keen Technologies,Venture - Series Unknown,"$20,000,000.0",2022-08-19,,,Yes,Keen Technologies is a online Software Training | IT Training.,"Corporate Training, EdTech, Education, Software",,www.keentechnologies.com,"Naugatuck, Connecticut, United States, North America",,"$20,000,000.0",,1,"Daniel Gross, Nat Friedman","Capital Factory, Daniel Gross, Jim Keller, Nat Friedman, Patrick Collison, Sequoia Capital, Tobias Lütke",7,,551
Series A - Mojocare,Mojocare,Series A,"$20,033,299.200000003",2022-08-23,Early Stage Venture,,Yes,Mojocare is a digital-first judgement-free wellness platform.,"Health Care, Wellness",,mojocare.com/,"Bangalore, Karnataka, India, Asia",,"$23,038,294.080000002",Early Stage Venture,2,"B Capital Group, Better Capital, Chiratae Ventures, Surge","Adrian Aoun, Ankit Nagori, B Capital Group, Better Capital, Chiratae Ventures, Kunal Shah, Ravi Bhushan, Sajid Rahman, Surge, Vineet Jain, Vivekananda Hallekere",11,,552
Seed Round - Unlockd,Unlockd,Seed,"$4,400,000.0",2022-08-18,Seed,,Yes,"Unlockd Maximize the return on NFTs with cross-chain, instant loans while keeping their utility.",Finance,,www.unlockd.finance,"Isaba, Navarra, Spain, Europe",,"$4,400,000.0",Seed,1,Blockchain Capital,"BitScale, Blockchain Capital, BlockchainSpace, BreederDAO, Caballeros Capital, Crypto Plaza, Eden Ventures, Emfarsis, Gabby Dizon, IDEO CoLab Ventures, Play Ventures, Sanctor Capital, Sfermion, The Spartan Group, Yield Guild Games, Yield Guild Games Southeast Asia",16,,553
