Hub Name,Number of Organizations,Number of People,Number of Events,CB Rank (Hub),Description,Last Updated,Hub Type,Parent Organization,Disverity Spotlight (US Only),Industries,Industry Groups,Location,Location Type,Closed Year,Founded Year,Funding Status,Investment Stage,Investor Type,Number of Employees,Estimated Revenue Range,Number of Investors,Number of Lead Investors,Average Founded Date,Number of Non-Profit Companies,Number of For-Profit Companies,Percentage Non-Profit,Percentage Public Organizations,Number of IPOs,Average IPO Date,Percentage Delisted,Top Funding Types,Number of Funding Rounds,Median Number of Funding Rounds,Total Funding Amount,Median Total Funding Amount,Total Equity Funding Amount,Average Last Funding Date,Total Amount Raised in IPO,Median Amount Raised in IPO,Total IPO Valuation,Median IPO Valuation,Percentage Acquired,Number of Acquired Organizations,Number of Acquisitions,Total Acquired Price,Median Acquired Price,Top Investor Types,Number of Portfolio Companies,Number of Investments,Median Number of Investments,Number of Lead Investors.1,Median Number of Lead Investors,Number of Exits,Median Number of Exits,Number of Funds,Total Fund Raised,Number of Founders,Number of Founder Alumni,Number of Alumni,Average Rank,Average Trend Score (7D),Average Trend Score (30D),Average Trend Score (90D)
Greater New York Area Companies With More Than $1M in Revenue (Top 10K),"9,775",977,932,428,"The top 10,000 companies and startups in Greater New York Area with more than $1m in revenue, by Crunchbase rank.",2022-09-15 09:15:00,"Active, Company, Location, Revenue Range",,,,,"Greater New York Area, United States, North America",Regional Area,,,,,,,$1M to $10M,"21,396","5,483",1999-02-04,151,"9,063",2%,4%,496,2008-04-10,0%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Private Equity,&nbsp;Series B","12,534",2,"$310,418,962,889.0","$5,000,013.0","$229,791,855,715.0",1999-02-04,"$80,289,745,553.0","$181,700,000.0","$362,529,573,837.0","$937,500,000.0",13%,"1,435","6,805","$443,397,978,401.0","$276,666,666.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Micro VC,&nbsp;Hedge Fund","21,629","29,192",5,"8,867",4,"6,487",3,"1,016","$1,087,765,384,276.0","12,264",10,13,"176,746.05",0.86,0.86,1.46
Private Equity Firms with Investments in New Jersey,406,23,3,429,Private equity firms that made investments in companies headquartered in New Jersey.,2022-09-15 10:13:00,"Active, Investments in Location, Investor Type",,,,,"New Jersey, United States, North America",State/Region,,,,,,,,77,41,1996-06-26,1,65,0%,5%,22,2006-02-25,0%,"Seed,&nbsp;Undisclosed,&nbsp;Post-IPO Debt,&nbsp;Debt Financing,&nbsp;Private Equity",66,1,"$8,330,394,917.0",,"$2,825,269,917.0",1996-06-26,"$8,043,514,353.0","$565,393,621.0","$30,914,188,761.0","$1,975,790,812.0",2%,9,"3,991","$3,981,013,694.0","$972,948,266.0","Micro VC,&nbsp;Incubator,&nbsp;Hedge Fund,&nbsp;Accelerator,&nbsp;Angel Group","21,470","28,744",23,"11,789",11,"8,475",9,"1,230","$2,125,850,365,446.0",530,,,"230,721.5",0.7,0.7,0.83
Southern US Companies With Fewer Than 10 Employees (Top 10K),"9,977",981,688,429,"The top 10,000 companies and startups in Southern US with fewer than 10 employees, by Crunchbase rank.",2022-09-15 09:38:00,"Active, Company, Employee Range, Location",,,,,"Southern US, United States, North America",Regional Area,,,,,,,,"8,716","3,010",2011-07-30,116,"8,945",1%,1%,134,2010-06-07,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Pre-Seed,&nbsp;Grant,&nbsp;Debt Financing","10,471",1,"$24,438,267,459.0","$420,684.0","$19,755,801,028.0",2011-07-30,"$3,747,303,783.0","$39,500,000.0","$3,598,144,026.0","$89,000,000.0",6%,584,532,"$40,976,800,000.0","$87,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Angel Group","6,921","9,430",11,"2,819",5,"1,378",3,473,"$25,604,675,244.0","11,270",18,43,"219,324.06",0.87,0.87,1.3
New York Companies With Fewer Than 1000 Employees (Top 10K),"9,956",986,"1,117",430,"The top 10,000 companies and startups in New York with fewer than 1000 employees, by Crunchbase rank.",2022-09-15 10:52:00,"Active, Company, Employee Range, Location",,,,,"New York, United States, North America",State/Region,,,,,,,,"34,886","8,361",2009-09-09,86,"9,042",1%,3%,385,2011-02-09,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Pre-Seed,&nbsp;Series B","19,866",2,"$226,993,482,004.0","$3,000,958.0","$187,162,304,361.0",2009-09-09,"$32,028,891,381.0","$100,000,000.0","$142,581,113,064.0","$521,444,539.0",13%,"1,408","3,877","$168,289,726,925.0","$150,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Hedge Fund,&nbsp;Family Investment Office","25,466","34,630",12,"9,341",5,"6,354",4,"1,128","$931,748,440,609.0","16,692",7,11,"96,492.69",0.71,0.71,1.15
Industrial Manufacturing Companies With More Than $1M in Revenue,"9,391",973,10,431,Companies and startups in the industrial manufacturing space with more than $1m in revenue.,2022-09-15 12:41:00,"Active, Industry, Company, Revenue Range",,,Industrial Manufacturing,Manufacturing,,,,,,,,,$1M to $10M,522,198,1973-05-01,9,"9,237",0%,3%,315,2005-04-09,0%,"Grant,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Debt Financing",450,1,"$6,694,104,734.0","$894,666.0","$4,628,365,101.0",1973-05-01,"$53,147,456,975.0","$199,250,000.0","$10,423,888,567.0","$1,095,895,346.0",1%,117,458,"$53,143,817,228.0","$530,000,000.0","Venture Capital,&nbsp;Accelerator,&nbsp;Micro VC",208,279,2,74,1,38,2,7,"$426,777,787.0",806,0,0,"1,130,706.3",1.28,1.28,2.0
Therapeutics Companies With Less Than $1B in Revenue,"7,901",972,3,432,Companies and startups in the therapeutics space with less than $1b in revenue.,2022-09-15 10:31:00,"Active, Industry, Company, Revenue Range",,,Therapeutics,Health Care,,,,,,,,,$500M to $1B,"8,109","2,726",2000-01-31,448,"7,383",6%,5%,484,2014-10-24,0%,"Venture - Series Unknown,&nbsp;Post-IPO Equity,&nbsp;Series B,&nbsp;Series A,&nbsp;Seed","6,390",3,"$144,619,473,827.0","$23,291,381.0","$127,788,176,361.0",2000-01-31,"$28,651,791,438.0","$85,333,333.0","$113,554,888,552.0","$428,945,745.0",2%,204,408,"$108,672,994,267.0","$417,500,000.0","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Incubator",511,749,1,205,1,186,1,14,"$1,991,800,000.0","3,335",0,0,"1,156,415.06",1.32,1.32,1.85
Therapeutics Companies With Less Than $500M in Revenue,"7,892",963,2,433,Companies and startups in the therapeutics space with less than $500m in revenue.,2022-09-15 10:28:00,"Active, Industry, Company, Revenue Range",,,Therapeutics,Health Care,,,,,,,,,$100M to $500M,"8,104","2,723",2000-02-01,448,"7,374",6%,5%,482,2014-11-09,0%,"Venture - Series Unknown,&nbsp;Post-IPO Equity,&nbsp;Series B,&nbsp;Series A,&nbsp;Seed","6,379",3,"$143,316,843,827.0","$23,291,381.0","$126,485,546,361.0",2000-02-01,"$28,620,641,438.0","$85,500,000.0","$113,554,888,552.0","$428,945,745.0",2%,202,402,"$101,010,494,267.0","$402,500,000.0","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Incubator",510,748,1,205,1,186,1,14,"$1,991,800,000.0","3,330",0,0,"1,156,679.95",1.32,1.32,1.85
Therapeutics Companies With Less Than $50M in Revenue,"7,699",942,2,434,Companies and startups in the therapeutics space with less than $50m in revenue.,2022-09-15 09:24:00,"Active, Industry, Company, Revenue Range",,,Therapeutics,Health Care,,,,,,,,,$10M to $50M,"7,652","2,572",2000-07-09,422,"7,208",5%,5%,431,2015-01-19,0%,"Venture - Series Unknown,&nbsp;Post-IPO Equity,&nbsp;Series B,&nbsp;Series A,&nbsp;Seed","6,049",3,"$120,919,957,358.0","$21,522,941.0","$110,234,314,987.0",2000-07-09,"$24,902,241,438.0","$84,750,000.0","$96,579,988,337.0","$426,328,064.0",2%,177,326,"$65,630,494,267.0","$342,971,799.0","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Incubator",490,725,1,198,1,178,2,14,"$1,991,800,000.0","3,194",0,0,"1,169,885.53",1.32,1.32,1.85
Building Material Companies With More Than $1M in Revenue (Top 10K),"9,518",990,6,435,"The top 10,000 companies and startups in the building material space with more than $1m in revenue, by Crunchbase rank.",2022-09-15 09:35:00,"Active, Industry, Company, Revenue Range",,,Building Material,Real Estate,,,,,,,,,$1M to $10M,475,214,1973-10-20,15,"9,329",0%,3%,296,2004-01-29,0%,"Private Equity,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Seed,&nbsp;Debt Financing",518,1,"$19,060,946,813.0","$1,250,000.0","$12,191,854,319.0",1973-10-20,"$7,217,449,139.0","$393,250,000.0","$25,309,901,236.0","$2,608,000,000.0",2%,164,710,"$37,336,971,433.0","$699,600,997.0","Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Venture Capital",212,260,1,94,1,33,1,3,"$3,205,000,000.0","1,100",0,0,"989,884.15",1.4,1.4,2.23
Non Profit Companies (Top 10K),"9,891",979,30,436,"The top 10,000 companies and startups in the non profit space, by Crunchbase rank.",2022-09-15 08:57:00,"Active, Industry, Company",,,Non Profit,Other,,,,,,,,,,"2,829","1,687",1975-08-07,"6,021","1,879",61%,0%,20,2006-02-01,0%,"Grant,&nbsp;Seed,&nbsp;Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Series A","2,965",1,"$14,739,286,383.0","$300,000.0","$5,844,947,315.0",1975-08-07,"$736,676,998.0","$64,790,232.0","$448,645,542.0","$224,322,771.0",1%,164,332,"$12,087,142,755.0","$102,937,644.0","Venture Capital,&nbsp;Accelerator,&nbsp;Government Office,&nbsp;Angel Group,&nbsp;Incubator","5,417","6,204",2,"2,671",2,766,1,77,"$5,236,943,395.0","3,951",391,781,"389,453.98",1.38,1.38,2.23
Private Equity Firms with Investments in Silicon Valley,986,191,15,437,Private equity firms that made investments in companies headquartered in Silicon Valley.,2022-09-15 11:53:00,"Active, Investments in Location, Investor Type",,,,,"Silicon Valley, California, United States",Regional Area,,,,,,,,105,50,1998-03-26,1,160,0%,5%,49,2004-07-02,0%,"Seed,&nbsp;Grant,&nbsp;Series A,&nbsp;Undisclosed,&nbsp;Post-IPO Debt",102,1,"$9,724,458,766.0","$1,446,600.0","$3,662,898,082.0",1998-03-26,"$11,913,427,059.0","$385,500,000.0","$35,931,278,344.0","$2,002,234,399.0",2%,26,"5,088","$12,092,268,303.0","$1,750,000,000.0","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","33,634","44,278",16,"16,803",7,"12,202",5,"1,969","$2,751,345,804,790.0","1,094",,2,"261,371.03",0.74,0.74,0.73
Non Profit Companies With More Than 10 Employees (Top 10K),"9,951",991,26,437,"The top 10,000 companies and startups in the non profit space with more than 10 employees, by Crunchbase rank.",2022-09-15 11:56:00,"Active, Industry, Company, Employee Range",,,Non Profit,Other,,,,,,,,,,"1,979","1,150",1970-12-31,"6,663","1,684",67%,0%,16,2005-06-20,0%,"Grant,&nbsp;Seed,&nbsp;Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Series A","2,011",1,"$13,753,164,407.0","$448,691.0","$5,493,388,757.0",1970-12-31,"$101,212,076.0","$50,606,038.0","$448,645,542.0","$224,322,771.0",1%,142,326,"$11,988,260,252.0","$122,937,644.0","Accelerator,&nbsp;Venture Capital,&nbsp;Government Office,&nbsp;Family Investment Office,&nbsp;Venture Debt","3,872","4,385",2,"1,532",2,648,1,56,"$2,976,309,823.0","3,035",37,55,"465,951.57",1.42,1.42,2.29
New York Companies With More Than $1M in Revenue (Top 10K),"9,877",989,945,438,"The top 10,000 companies and startups in New York with more than $1m in revenue, by Crunchbase rank.",2022-09-15 11:19:00,"Active, Company, Location, Revenue Range",,,,,"New York, United States, North America",State/Region,,,,,,,$1M to $10M,"21,004","5,324",1998-03-10,183,"9,095",2%,4%,440,2008-05-21,0%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Private Equity","12,374",2,"$300,659,857,622.0","$4,768,293.0","$222,613,017,715.0",1998-03-10,"$66,704,966,493.0","$183,000,000.0","$363,886,743,162.0","$940,000,000.0",12%,"1,320","6,391","$376,244,325,589.0","$249,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Micro VC,&nbsp;Hedge Fund","22,098","30,074",6,"9,023",4,"6,528",3,"1,036","$1,199,467,117,584.0","11,975",11,14,"194,888.15",0.91,0.91,1.51
Private Equity Firms with Investments in Florida,604,112,15,438,Private equity firms that made investments in companies headquartered in Florida.,2022-09-15 12:16:00,"Active, Investments in Location, Investor Type",,,,,"Florida, United States, North America",State/Region,,,,,,,,75,41,1998-07-08,,95,,4%,26,2005-09-07,0%,"Seed,&nbsp;Undisclosed,&nbsp;Post-IPO Debt,&nbsp;Debt Financing,&nbsp;Private Equity",80,1,"$10,555,364,924.0",,"$3,887,958,787.0",1998-07-08,"$8,753,758,309.0","$385,500,000.0","$31,690,934,120.0","$1,706,000,000.0",2%,14,"5,467","$3,947,791,657.0","$760,895,829.0","Micro VC,&nbsp;Incubator,&nbsp;Hedge Fund,&nbsp;Angel Group,&nbsp;Venture Debt","24,533","31,976",16,"13,344",8,"9,355",7,"1,626","$2,492,551,450,118.0",812,,,"208,609.09",0.8,0.8,0.85
Retail Companies With More Than 10 Employees (Top 10K),"9,888",980,101,439,"The top 10,000 companies and startups in the retail space with more than 10 employees, by Crunchbase rank.",2022-09-15 11:57:00,"Active, Industry, Company, Employee Range",,,Retail,Commerce and Shopping,,,,,,,,,,"11,102","3,602",1990-05-04,21,"9,611",0%,6%,768,2005-10-30,1%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Private Equity,&nbsp;Series B","7,784",2,"$211,810,700,886.0","$3,112,729.0","$159,269,882,174.0",1990-05-04,"$53,636,841,242.0","$130,222,439.0","$247,029,492,530.0","$1,140,000,000.0",14%,"1,727","3,511","$432,397,242,608.0","$290,742,493.0","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Investment Bank,&nbsp;Private Equity Firm,&nbsp;Accelerator","4,378","5,053",2,"1,094",1,753,1,51,"$51,618,202,139.0","8,726",0,1,"226,801.65",0.94,0.94,1.7
Real Estate Companies With More Than $10M in Revenue (Top 10K),"9,710",979,48,440,"The top 10,000 companies and startups in the real estate space with more than $10m in revenue, by Crunchbase rank.",2022-09-15 10:34:00,"Active, Industry, Company, Revenue Range",,,Real Estate,Real Estate,,,,,,,,,$10M to $50M,"1,704",586,1981-02-03,138,"9,325",1%,6%,632,2005-09-01,0%,"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Post-IPO Equity,&nbsp;Debt Financing,&nbsp;Post-IPO Debt","1,287",1,"$146,055,074,333.0","$15,178,272.0","$72,426,041,637.0",1981-02-03,"$24,550,142,404.0","$270,000,000.0","$119,172,837,450.0","$2,298,468,798.0",3%,333,"2,186","$146,877,564,493.0","$905,000,000.0","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Investment Bank,&nbsp;Corporate Venture Capital,&nbsp;Family Investment Office","1,833","2,225",2,885,1,637,1,190,"$360,294,475,068.0","2,310",0,1,"660,242.06",1.36,1.36,2.2
Greater Los Angeles Area Companies With Less Than $50M in Revenue (Top 10K),"9,782",983,384,441,"The top 10,000 companies and startups in Greater Los Angeles Area with less than $50m in revenue, by Crunchbase rank.",2022-09-15 10:54:00,"Active, Company, Location, Revenue Range",,,,,"Greater Los Angeles Area, California, United States",Regional Area,,,,,,,$10M to $50M,"10,743","2,609",2001-04-23,121,"9,277",1%,1%,166,2012-08-01,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Private Equity,&nbsp;Debt Financing","7,422",2,"$70,302,518,921.0","$2,396,012.0","$59,403,136,596.0",2001-04-23,"$7,626,435,119.0","$70,000,000.0","$35,910,023,128.0","$435,660,000.0",7%,761,"1,351","$53,901,874,203.0","$100,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Angel Group","5,818","7,632",4,"1,828",3,"1,086",3,307,"$82,266,708,512.0","8,845",2,5,"275,874.57",1.09,1.09,1.79
Asia-Pacific (APAC) Companies With More Than 50 Employees (Top 10K),"9,828","1,006","1,159",442,"The top 10,000 companies and startups in Asia-Pacific (APAC) with more than 50 employees, by Crunchbase rank.",2022-09-15 12:17:00,"Active, Company, Employee Range, Location",,,,,Asia-Pacific (APAC),Regional Area,,,,,,,,"43,350","15,068",2007-03-15,41,"9,498",0%,17%,"1,892",2012-06-10,1%,"Series A,&nbsp;Series B,&nbsp;Venture - Series Unknown,&nbsp;Post-IPO Equity,&nbsp;Series C","25,419",2,"$1,214,432,379,755.0","$14,472,610.0","$994,576,222,161.0",2007-03-15,"$160,803,874,107.0","$104,074,571.0","$1,110,290,220,268.0","$1,013,333,333.0",7%,754,"4,105","$281,408,246,016.0","$106,953,744.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Corporate Venture Capital,&nbsp;Incubator","19,632","24,619",2,"9,125",2,"3,740",2,462,"$198,072,926,942.0","13,122",5,11,"65,563.73",0.7,0.7,1.05
Product Design Companies With Less Than $10M in Revenue (Top 10K),"9,902",985,42,443,"The top 10,000 companies and startups in the product design space with less than $10m in revenue, by Crunchbase rank.",2022-09-15 10:45:00,"Active, Industry, Company, Revenue Range",,,Product Design,Design,,,,,,,,,$1M to $10M,"1,455",414,1992-10-01,12,"9,826",0%,0%,22,2006-07-14,,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Series A,&nbsp;Debt Financing","1,268",1,"$7,001,943,659.0","$500,176.0","$6,110,426,705.0",1992-10-01,"$937,765,042.0","$19,500,000.0","$6,657,000,000.0","$99,000,000.0",1%,109,113,"$3,276,632,320.0","$90,000,000.0","Accelerator,&nbsp;Venture Capital,&nbsp;Incubator,&nbsp;Micro VC,&nbsp;Co-Working Space",215,224,1,46,1,16,1,3,"$20,090,000.0","2,653",0,0,"1,108,073.75",1.41,1.41,2.07
United States Therapeutics Companies (Top 10K),"9,474",960,4,444,"The top 10,000 companies and startups in United States in the therapeutics space, by Crunchbase rank.",2022-09-15 11:34:00,"Active, Industry, Company, Location",,,Therapeutics,Health Care,"United States, North America",Country,,,,,,,,"8,402","2,766",2000-11-07,560,"8,578",6%,4%,419,2013-12-03,1%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Post-IPO Equity,&nbsp;Grant","6,646",2,"$145,653,244,823.0","$14,095,430.0","$129,443,862,898.0",2000-11-07,"$27,607,222,168.0","$83,166,666.0","$103,772,897,269.0","$426,328,064.0",4%,387,479,"$196,101,350,151.0","$252,500,000.0","Venture Capital,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Incubator,&nbsp;Private Equity Firm",357,472,2,131,1,125,1,7,"$507,300,000.0","4,062",0,0,"1,049,254.83",1.43,1.43,2.25
Georgia Companies With Less Than $50M in Revenue (Top 10K),"9,586",970,84,445,"The top 10,000 companies and startups in Georgia with less than $50m in revenue, by Crunchbase rank.",2022-09-15 09:23:00,"Active, Company, Location, Revenue Range",,,,,"Georgia, United States, North America",State/Region,,,,,,,$10M to $50M,"1,963",728,1995-08-30,223,"9,043",2%,0%,42,2009-10-11,0%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Debt Financing","1,999",1,"$16,567,860,264.0","$1,712,427.0","$12,209,491,585.0",1995-08-30,"$1,395,710,862.0","$34,450,000.0","$4,672,262,106.0","$122,747,495.0",3%,335,454,"$5,338,452,081.0","$65,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital",884,"1,283",7,445,6,217,4,42,"$2,693,544,102.0","3,203",2,3,"746,269.6",1.48,1.48,2.13
Software Companies With Fewer Than 100 Employees (Top 10K),"9,941","1,000",744,446,"The top 10,000 companies and startups in the software space with fewer than 100 employees, by Crunchbase rank.",2022-09-15 11:11:00,"Active, Industry, Company, Employee Range",,,Software,Software,,,,,,,,,,"55,347","15,647",2015-07-04,23,"9,549",0%,1%,162,2014-07-21,0%,"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed","30,910",3,"$149,987,636,837.0","$5,984,692.0","$139,188,710,444.0",2015-07-04,"$1,537,976,805.0","$10,000,000.0","$9,430,938,042.0","$56,152,202.0",11%,"1,117","1,255","$30,850,389,784.0","$68,000,000.0","Venture Capital,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Angel Group,&nbsp;Family Investment Office","3,492","4,912",2,"1,231",2,653,1,100,"$13,921,607,379.0","21,145",0,0,"30,359.43",0.79,0.79,1.32
Texas Companies With Fewer Than 100 Employees (Top 10K),"9,919",985,282,447,"The top 10,000 companies and startups in Texas with fewer than 100 employees, by Crunchbase rank.",2022-09-15 11:35:00,"Active, Company, Employee Range, Location",,,,,"Texas, United States, North America",State/Region,,,,,,,,"7,786","2,406",2005-03-05,120,"9,244",1%,2%,204,2010-02-05,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Pre-Seed,&nbsp;Private Equity","7,555",1,"$59,009,508,975.0","$1,352,615.0","$50,065,133,390.0",2005-03-05,"$12,219,274,999.0","$72,000,000.0","$16,522,799,074.0","$235,000,000.0",9%,"1,017",892,"$173,746,561,369.0","$127,500,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Angel Group","3,249","4,465",4,"1,375",3,731,3,282,"$49,646,696,499.0","8,473",0,1,"297,429.43",1.08,1.08,1.73
Companies With More Than 1000 Employees (Top 10K),"9,582",977,"6,174",448,"The top 10,000 companies and startups with more than 1000 employees, by Crunchbase rank.",2022-09-15 10:31:00,"Active, Company, Employee Range",,,,,,,,,,,,,,"20,594","7,633",1972-09-15,123,"9,137",1%,35%,"4,203",2004-07-13,4%,"Post-IPO Equity,&nbsp;Private Equity,&nbsp;Venture - Series Unknown,&nbsp;Post-IPO Debt,&nbsp;Grant","13,712",1,"$2,703,072,023,613.0","$61,237,917.0","$1,578,036,469,637.0",1972-09-15,"$590,424,475,034.0","$212,733,941.0","$3,270,654,151,230.0","$1,719,755,650.0",24%,"3,026","43,045","$4,944,186,661,580.0","$1,600,000,000.0","Venture Capital,&nbsp;Investment Bank,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Government Office","38,330","45,895",3,"16,332",2,"10,907",2,636,"$1,011,671,422,485.0","10,955","2,871","5,574","88,986.03",0.78,0.78,1.3
Leasing Companies With More Than $1M in Revenue,"3,402",444,0,449,Companies and startups in the leasing space with more than $1m in revenue.,2022-09-15 09:04:00,"Active, Industry, Company, Revenue Range",,,Leasing,Financial Services,,,,,,,,,$1M to $10M,199,67,1989-08-16,9,"3,347",0%,4%,135,2004-09-03,0%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Post-IPO Debt",146,2,"$12,031,240,295.0","$14,800,000.0","$5,668,083,541.0",1989-08-16,"$6,280,500,000.0","$280,000,000.0","$5,951,483,811.0","$1,787,425,005.0",1%,22,68,"$41,136,077,855.0","$1,100,000,000.0","Venture Capital,&nbsp;Investment Bank",140,149,6,61,3,53,2,5,"$360,531,244.0",347,0,0,"1,243,061.12",1.52,1.52,2.18
Non Profit Companies With Fewer Than 1000 Employees (Top 10K),"9,926",990,26,450,"The top 10,000 companies and startups in the non profit space with fewer than 1000 employees, by Crunchbase rank.",2022-09-15 08:52:00,"Active, Industry, Company, Employee Range",,,Non Profit,Other,,,,,,,,,,"2,420","1,327",1978-03-02,"6,349","1,869",64%,0%,11,2008-12-08,0%,"Grant,&nbsp;Seed,&nbsp;Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Pre-Seed","2,508",1,"$9,809,730,430.0","$329,647.0","$4,458,907,550.0",1978-03-02,"$36,421,844.0","$36,421,844.0","$108,360,190.0","$108,360,190.0",1%,137,203,"$3,158,162,860.0","$85,000,000.0","Accelerator,&nbsp;Venture Capital,&nbsp;Incubator,&nbsp;Angel Group,&nbsp;Entrepreneurship Program","4,350","4,984",3,"2,179",2,494,1,65,"$3,818,012,016.0","3,649",20,34,"451,925.28",1.43,1.43,2.3
Asia Companies With More Than 50 Employees (Top 10K),"9,270",974,"1,217",451,"The top 10,000 companies and startups in Asia with more than 50 employees, by Crunchbase rank.",2022-09-15 09:40:00,"Active, Company, Employee Range, Location",,,,,Asia,Continent,,,,,,,,"43,973","15,388",2007-09-10,32,"8,948",0%,16%,"1,685",2012-10-11,1%,"Series A,&nbsp;Series B,&nbsp;Venture - Series Unknown,&nbsp;Post-IPO Equity,&nbsp;Series C","25,310",2,"$1,288,402,550,411.0","$15,777,369.0","$1,037,799,652,524.0",2007-09-10,"$160,984,007,840.0","$117,496,964.0","$1,145,761,000,047.0","$1,250,000,000.0",7%,733,"3,829","$339,147,593,348.0","$122,915,073.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Corporate Venture Capital,&nbsp;Incubator","19,781","25,102",2,"9,265",2,"3,802",2,486,"$189,241,980,225.0","12,916",5,10,"59,165.54",0.73,0.73,1.08
Health Care Companies With More Than 100 Employees (Top 10K),"9,759",996,419,452,"The top 10,000 companies and startups in the health care space with more than 100 employees, by Crunchbase rank.",2022-09-15 10:11:00,"Active, Industry, Company, Employee Range",,,Health Care,Health Care,,,,,,,,,,"16,483","5,905",1987-06-01,691,"8,622",7%,10%,"1,249",2008-12-19,1%,"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Post-IPO Equity,&nbsp;Series A","11,386",2,"$485,433,899,145.0","$14,206,672.0","$360,932,460,012.0",1987-06-01,"$119,488,136,334.0","$112,911,982.0","$474,490,867,952.0","$680,000,000.0",19%,"2,312","8,065","$1,376,668,500,026.0","$516,765,119.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Government Office,&nbsp;Accelerator","5,616","7,626",2,"3,059",1,"1,860",1,109,"$118,782,215,550.0","7,871",22,41,"185,458.58",0.9,0.9,1.6
Private Georgia Companies (Top 10K),"9,982",989,108,453,"The top 10,000 private companies and startups in Georgia, by Crunchbase rank.",2022-09-15 11:46:00,"Active, Company, Location",,,,,"Georgia, United States, North America",State/Region,,,,,,,,"3,368","1,246",1995-01-29,251,"9,142",3%,,0,,,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Pre-Seed","3,233",1,"$30,985,485,417.0","$999,691.0","$20,833,102,984.0",1995-01-29,,,,,11%,"1,195","1,109","$101,035,408,009.0","$168,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Investment Bank","1,371","1,837",2,615,2,305,2,90,"$13,876,170,202.0","4,733",5,6,"477,662.34",1.41,1.41,2.14
