Hub Name,Number of Organizations,Number of People,Number of Events,CB Rank (Hub),Description,Last Updated,Hub Type,Parent Organization,Disverity Spotlight (US Only),Industries,Industry Groups,Location,Location Type,Closed Year,Founded Year,Funding Status,Investment Stage,Investor Type,Number of Employees,Estimated Revenue Range,Number of Investors,Number of Lead Investors,Average Founded Date,Number of Non-Profit Companies,Number of For-Profit Companies,Percentage Non-Profit,Percentage Public Organizations,Number of IPOs,Average IPO Date,Percentage Delisted,Top Funding Types,Number of Funding Rounds,Median Number of Funding Rounds,Total Funding Amount,Median Total Funding Amount,Total Equity Funding Amount,Average Last Funding Date,Total Amount Raised in IPO,Median Amount Raised in IPO,Total IPO Valuation,Median IPO Valuation,Percentage Acquired,Number of Acquired Organizations,Number of Acquisitions,Total Acquired Price,Median Acquired Price,Top Investor Types,Number of Portfolio Companies,Number of Investments,Median Number of Investments,Number of Lead Investors,Median Number of Lead Investors,Number of Exits,Median Number of Exits,Number of Funds,Total Fund Raised,Number of Founders,Number of Founder Alumni,Number of Alumni,Average Rank,Average Trend Score (7D),Average Trend Score (30D),Average Trend Score (90D)
"Private Equity Firms with Investments in North Carolina","347","75","1","500","Private equity firms that made investments in companies headquartered in North Carolina.","Sep 15, 2022 11:09 AM","Active, Investments in Location, Investor Type","—","—","—","—","North Carolina, United States, North America","State/Region","—","—","—","—",—,"—",—,"65","31","Jan 9, 1997",—,"61",—,"5%","18","Mar 25, 2007",—,"Seed,&nbsp;Undisclosed,&nbsp;Post-IPO Debt,&nbsp;Debt Financing,&nbsp;Private Equity","57","1","$6,973,718,109","$3,095,148","$4,728,093,109","Jan 9, 1997","$2,914,302,705","$398,696,811","$20,600,864,328","$2,298,468,798","3%","10","3,581","$516,865,315","$516,865,315","Micro VC,&nbsp;Hedge Fund,&nbsp;Venture Debt,&nbsp;Fund Of Funds,&nbsp;Venture Capital","17,293","22,811","23","9,294","11","7,422","9","1,157","$1,823,627,879,082","472",—,"1","213,052.53","0.82","0.82","1"
"Construction Companies With Less Than $10M in Revenue (Top 10K)","9,203","974","53","500","The top 10,000 companies and startups in the construction space with less than $10m in revenue, by Crunchbase rank.","Sep 15, 2022 11:02 AM","Active, Industry, Company, Revenue Range","—","—","Construction","Real Estate","—","—","—","—","—","—","—","—","$1M to $10M","1,654","485","Aug 26, 1989","63","8,960","1%","1%","81","Feb 22, 2005",—,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Series A,&nbsp;Private Equity","1,233","1","$8,490,703,105","$923,301","$5,276,452,957","Aug 26, 1989","$228,780,217","$20,000,000","$717,903,680","$717,903,680","1%","107","239","$2,551,000,000","$470,000,000","Venture Capital,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","343","468","2","131","2","67","2","25","$1,248,200,000","2,105","0","0","786,449.57","1.73","1.73","2.57"
"European Union (EU) Companies With Fewer Than 50 Employees (Top 10K)","9,141","968","1,814","501","The top 10,000 companies and startups in European Union (EU) with fewer than 50 employees, by Crunchbase rank.","Sep 15, 2022 12:38 PM","Active, Company, Employee Range, Location","—","—","—","—","European Union (EU), Europe","Regional Area","—","—","—","—","—",—,—,"30,592","9,739","Jun 13, 2015","14","8,494","0%","1%","150","May 8, 2016","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Pre-Seed,&nbsp;Grant","22,241","2","$89,177,968,415","$2,411,239","$71,729,074,074","Jun 13, 2015","$3,276,399,638","$24,266,031","$15,154,492,924","$136,363,574","7%","679","587","$12,030,166,352","$30,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","8,757","12,172","28","4,059","12","1,477","6","349","$38,310,343,948","18,565","122","262","59,014.91","0.72","0.72","0.98"
"Software Companies With More Than 10 Employees (Top 10K)","10,000","988","788","502","The top 10,000 companies and startups in the software space with more than 10 employees, by Crunchbase rank.","Sep 15, 2022 11:54 AM","Active, Industry, Company, Employee Range","—","—","Software","Software","—","—","—","—","—","—","—",—,—,"64,998","20,353","Nov 6, 2012","20","9,772","0%","5%","576","Jul 24, 2012","0%","Series A,&nbsp;Seed,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","36,397","3","$617,605,126,897","$13,406,105","$550,743,121,556","Nov 6, 2012","$74,495,060,930","$132,800,312","$638,330,590,540","$1,020,000,000","15%","1,696","8,059","$359,966,177,006","$230,000,000","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Incubator","5,174","6,840","2","1,833","2","1,130","1","119","$117,548,430,390","21,865","18","34","24,044.66","0.83","0.83","1.29"
"Software Companies With Fewer Than 50 Employees (Top 10K)","9,870","980","684","503","The top 10,000 companies and startups in the software space with fewer than 50 employees, by Crunchbase rank.","Sep 15, 2022 9:53 AM","Active, Industry, Company, Employee Range","—","—","Software","Software","—","—","—","—","—","—","—",—,—,"49,270","13,345","Jan 31, 2016","24","9,429","0%","1%","115","Apr 29, 2016","0%","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Pre-Seed,&nbsp;Series B","28,385","2","$105,102,399,813","$3,997,754","$97,054,114,717","Jan 31, 2016","$742,099,389","$8,250,471","$6,339,223,509","$25,000,000","9%","961","748","$14,787,822,068","$42,000,000","Venture Capital,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Angel Group,&nbsp;Family Investment Office","3,240","4,581","2","1,095","2","626","3","91","$12,688,781,268","20,437","0","0","37,492.38","0.72","0.72","1.24"
"California Companies With More Than 50 Employees (Top 10K)","9,863","958","1,962","504","The top 10,000 companies and startups in California with more than 50 employees, by Crunchbase rank.","Sep 15, 2022 12:49 PM","Active, Company, Employee Range, Location","—","—","—","—","California, United States, North America","State/Region","—","—","—","—","—",—,—,"43,431","12,060","Nov 7, 1998","140","9,390","1%","9%","1,145","Feb 10, 2009","2%","Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C,&nbsp;Private Equity,&nbsp;Series A","22,150","3","$1,100,232,670,100","$39,840,195","$695,235,755,480","Nov 7, 1998","$211,205,320,414","$118,833,333","$1,542,311,267,570","$887,316,000","25%","2,880","10,593","$1,306,348,723,502","$350,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Investment Bank,&nbsp;Angel Group","30,268","44,607","2","13,172","2","9,267","2","692","$571,339,138,758","14,883","1,114","2,211","122,640.89","0.86","0.86","1.43"
"Western US Real Estate Companies (Top 10K)","9,734","980","27","505","The top 10,000 companies and startups in Western US in the real estate space, by Crunchbase rank.","Sep 15, 2022 10:57 AM","Active, Industry, Company, Location","—","—","Real Estate","Real Estate","Western US, United States, North America","Regional Area","—","—","—","—","—","—",—,"2,648","653","May 22, 1995","132","9,303","1%","1%","112","May 23, 2006","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Series A,&nbsp;Pre-Seed","1,727","1","$54,881,493,850","$1,739,082","$32,532,873,705","May 22, 1995","$11,160,899,990","$210,000,000","$53,239,029,118","$900,000,000","3%","331","482","$63,915,315,848","$284,500,000","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Angel Group,&nbsp;Family Investment Office,&nbsp;Micro VC","775","954","2","355","2","239","1","84","$91,868,811,896","3,209","0","0","822,064.87","1.48","1.48","2.15"
"Companies With Less Than $1M in Revenue (Top 10K)","9,694","1,002","5,415","506","The top 10,000 companies and startups with less than $1m in revenue, by Crunchbase rank.","Sep 15, 2022 11:03 AM","Active, Company, Revenue Range","—","—","—","—","—","—","—","—","—","—","—","—","Less than $1M","36,297","10,322","Jan 27, 2013","50","9,357","1%","8%","904","Jan 26, 2013","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Post-IPO Equity,&nbsp;Grant","27,458","2","$185,005,069,132","$2,933,888","$151,671,156,214","Jan 27, 2013","$15,827,289,145","$22,836,556","$81,626,781,302","$106,200,000","13%","1,284","1,272","$37,498,487,473","$79,520,622","Venture Capital,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Angel Group","12,526","15,867","5","3,971","4","1,388","2","421","$29,903,326,153","17,987","1,265","2,539","60,401.89","0.61","0.61","0.82"
"Asia-Pacific (APAC) Companies With Less Than $50M in Revenue (Top 10K)","9,809","983","935","507","The top 10,000 companies and startups in Asia-Pacific (APAC) with less than $50m in revenue, by Crunchbase rank.","Sep 15, 2022 11:02 AM","Active, Company, Location, Revenue Range","—","—","—","—","Asia-Pacific (APAC)","Regional Area","—","—","—","—","—","—","$10M to $50M","27,828","9,702","Dec 13, 2008","58","9,452","1%","8%","830","Jun 23, 2012","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Post-IPO Equity","17,658","2","$294,901,027,561","$3,498,664","$251,963,517,618","Dec 13, 2008","$26,928,947,340","$56,806,205","$114,911,931,221","$205,900,000","9%","886","1,523","$52,560,753,202","$45,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","13,823","16,929","2","5,417","2","1,777","2","480","$79,173,199,364","14,195","3","5","119,901.97","0.67","0.67","0.99"
"Venture Capital Investors with Investments in Association of Southeast Asian Nations (ASEAN)","1,894","569","53","507","Venture capital investors that made investments in companies headquartered in Association of Southeast Asian Nations (ASEAN).","Sep 15, 2022 12:06 PM","Active, Investments in Location, Investor Type","—","—","—","—","Association of Southeast Asian Nations (ASEAN), Asia","Regional Area","—","—","—","—",—,"—",—,"441","124","Feb 11, 2009","2","302","0%","2%","47","Sep 11, 2006",—,"Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A","301","1","$18,994,645,000",—,"$13,539,957,193","Feb 11, 2009","$31,138,822,008","$1,770,000,000","$321,494,672,586","$52,700,000,000","0%","9","1,002",—,—,"Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","100,435","141,436","18","39,710","6","19,994","4","2,804","$1,053,477,817,991","2,359","4","6","239,092.05","1.03","1.03","1.04"
"Venture Capital Investors with Investments in Southeast Asia","1,894","569","53","508","Venture capital investors that made investments in companies headquartered in Southeast Asia.","Sep 15, 2022 12:01 PM","Active, Investments in Location, Investor Type","—","—","—","—","Southeast Asia, Asia","Regional Area","—","—","—","—",—,"—",—,"441","124","Feb 11, 2009","2","302","0%","2%","47","Sep 11, 2006",—,"Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A","301","1","$18,994,645,000",—,"$13,539,957,193","Feb 11, 2009","$31,138,822,008","$1,770,000,000","$321,494,672,586","$52,700,000,000","0%","9","1,002",—,—,"Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","100,435","141,436","18","39,710","6","19,994","4","2,804","$1,053,477,817,991","2,359","4","6","239,067.86","1.03","1.03","1.04"
"Financial Services Companies With Fewer Than 100 Employees (Top 10K)","9,959","988","333","508","The top 10,000 companies and startups in the financial services space with fewer than 100 employees, by Crunchbase rank.","Sep 15, 2022 11:55 AM","Active, Industry, Company, Employee Range","—","—","Financial Services","Financial Services","—","—","—","—","—","—","—",—,—,"27,485","7,482","Aug 31, 2012","50","7,891","1%","3%","302","Feb 11, 2012","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Pre-Seed,&nbsp;Debt Financing","17,079","2","$137,644,300,638","$2,835,869","$85,065,965,225","Aug 31, 2012","$3,936,151,326","$31,486,783","$10,116,812,188","$97,320,807","7%","695","4,185","$51,762,824,316","$103,341,165","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Corporate Venture Capital,&nbsp;Accelerator","114,313","163,949","34","47,674","11","26,961","6","5,076","$1,299,512,344,602","16,438","2","6","80,443.21","0.75","0.75","1.09"
"United States Non Profit Companies (Top 10K)","9,869","966","19","509","The top 10,000 companies and startups in United States in the non profit space, by Crunchbase rank.","Sep 15, 2022 12:42 PM","Active, Industry, Company, Location","—","—","Non Profit","Other","United States, North America","Country","—","—","—","—","—","—",—,"2,258","1,425","Dec 3, 1973","6,553","1,577","66%","0%","9","Mar 14, 2000","0%","Grant,&nbsp;Seed,&nbsp;Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Series A","2,409","1","$7,763,139,134","$249,982","$2,493,706,669","Dec 3, 1973","$64,790,232","$64,790,232","$340,285,352","$340,285,352","1%","140","278","$9,121,060,778","$58,500,000","Accelerator,&nbsp;Venture Capital,&nbsp;Entrepreneurship Program,&nbsp;Government Office,&nbsp;Angel Group","3,321","3,827","2","1,760","2","453","2","45","$2,529,034,914","3,096","374","761","482,891.61","1.48","1.48","2.43"
"Non Profit Companies With More Than $1M in Revenue (Top 10K)","9,972","987","16","510","The top 10,000 companies and startups in the non profit space with more than $1m in revenue, by Crunchbase rank.","Sep 15, 2022 9:12 AM","Active, Industry, Company, Revenue Range","—","—","Non Profit","Other","—","—","—","—","—","—","—","—","$1M to $10M","1,321","686","May 16, 1971","6,735","1,659","68%","0%","9","Oct 14, 2004",—,"Grant,&nbsp;Seed,&nbsp;Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Series A","1,402","1","$10,282,618,497","$754,480","$3,421,551,310","May 16, 1971","$64,790,232","$64,790,232","$340,285,352","$340,285,352","1%","75","223","$3,903,133,459","$122,937,644","Venture Capital,&nbsp;Accelerator,&nbsp;Government Office,&nbsp;Incubator,&nbsp;Family Investment Office","2,400","2,878","2","873","2","480","2","36","$2,118,678,502","2,427","23","40","633,425.17","1.39","1.39","2.21"
"Southern US Consulting Companies (Top 10K)","9,933","984","8","511","The top 10,000 companies and startups in Southern US in the consulting space, by Crunchbase rank.","Sep 15, 2022 10:08 AM","Active, Industry, Company, Location","—","—","Consulting","Professional Services","Southern US, United States, North America","Regional Area","—","—","—","—","—","—",—,"588","267","May 20, 1998","182","9,280","2%","0%","54","Nov 23, 2004","0%","Private Equity,&nbsp;Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Debt Financing","785","1","$8,706,173,718","$232,500","$5,594,195,392","May 20, 1998","$3,269,600,000","$60,900,000","$10,630,787,658","$610,393,829","6%","631","1,009","$45,563,007,279","$126,500,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Incubator,&nbsp;Government Office","610","767","1","249","1","96","1","23","$950,407,450","3,389","1","3","549,733.79","1.52","1.52","2.29"
"Greater New York Area Companies With Less Than $50M in Revenue (Top 10K)","9,764","999","961","512","The top 10,000 companies and startups in Greater New York Area with less than $50m in revenue, by Crunchbase rank.","Sep 15, 2022 11:34 AM","Active, Company, Location, Revenue Range","—","—","—","—","Greater New York Area, United States, North America","Regional Area","—","—","—","—","—","—","$10M to $50M","22,369","5,415","Mar 30, 2004","117","9,098","1%","2%","235","Sep 13, 2011","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Debt Financing","13,434","2","$155,001,660,455","$3,333,588","$126,471,043,004","Mar 30, 2004","$9,048,931,186","$57,000,000","$47,395,551,081","$365,152,000","12%","1,257","2,737","$128,641,825,368","$137,099,500","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Investment Bank,&nbsp;Hedge Fund","17,673","24,365","8","6,261","4","4,621","4","850","$434,146,042,294","12,919","6","8","170,992.18","0.83","0.83","1.36"
"Illinois Companies With More Than $1M in Revenue (Top 10K)","9,908","960","232","513","The top 10,000 companies and startups in Illinois with more than $1m in revenue, by Crunchbase rank.","Sep 15, 2022 12:53 PM","Active, Company, Location, Revenue Range","—","—","—","—","Illinois, United States, North America","State/Region","—","—","—","—","—","—","$1M to $10M","3,633","1,180","Aug 28, 1985","257","9,203","3%","1%","167","Apr 13, 2005","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Series A","3,004","2","$55,811,061,588","$2,466,748","$34,759,636,180","Aug 28, 1985","$17,177,602,284","$132,906,250","$82,192,540,671","$994,000,000","6%","620","3,389","$139,069,973,784","$400,000,000","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Micro VC,&nbsp;Investment Bank,&nbsp;Accelerator","3,888","5,509","3","1,488","2","1,113","3","290","$221,555,078,394","4,559","6","8","514,123.78","1.29","1.29","2.02"
"Venture Capital Investors with Investments in Singapore","1,457","354","34","513","Venture capital investors that made investments in companies headquartered in Singapore.","Sep 15, 2022 1:00 PM","Active, Investments in Location, Investor Type","—","—","—","—","Singapore, Asia","Country","—","—","—","—",—,"—",—,"337","82","Apr 18, 2009","2","238","0%","2%","33","Apr 15, 2005",—,"Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A","225","1","$10,980,453,133",—,"$8,499,945,326","Apr 18, 2009","$25,070,000,000","$5,400,000,000","$158,199,999,999","$79,100,000,000","0%","7","555",—,—,"Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","86,184","120,522","22","33,056","7","16,231","4","2,324","$889,255,686,733","1,911","3","4","211,304.41","1.08","1.08","1.14"
"Midwestern US Health Care Companies (Top 10K)","9,808","998","23","514","The top 10,000 companies and startups in Midwestern US in the health care space, by Crunchbase rank.","Sep 15, 2022 10:33 AM","Active, Industry, Company, Location","—","—","Health Care","Health Care","Midwestern US, United States, North America","Regional Area","—","—","—","—","—","—",—,"3,922","1,594","Dec 19, 1987","1,378","7,856","14%","1%","152","Dec 17, 2007","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Series A","4,624","2","$46,995,320,213","$1,500,000","$33,544,146,190","Dec 19, 1987","$12,636,218,323","$69,000,000","$55,179,802,089","$303,140,432","8%","919","1,351","$253,443,442,032","$229,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","1,311","1,735","2","662","2","383","2","87","$13,833,655,161","3,798","5","6","566,265.98","1.31","1.31","2.04"
"Venture Capital Investors with Investments in New Jersey","982","44","2","514","Venture capital investors that made investments in companies headquartered in New Jersey.","Sep 15, 2022 10:42 AM","Active, Investments in Location, Investor Type","—","—","—","—","New Jersey, United States, North America","State/Region","—","—","—","—",—,"—",—,"209","55","Dec 18, 2001","4","135","0%","2%","24","Jun 8, 2002",—,"Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A","155","1","$5,420,686,459","$400,000","$916,147,069","Dec 18, 2001","$18,348,587,294","$333,587,294","$1,770,017,000","$885,008,500","2%","16","742","$4,425,000,000","$725,000,000","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","82,391","125,298","45","35,431","13","24,404","10","2,648","$941,976,510,974","1,374","2","3","232,687.87","0.85","0.85","1.01"
"Building Material Companies (Top 10K)","9,679","999","11","515","The top 10,000 companies and startups in the building material space, by Crunchbase rank.","Sep 15, 2022 11:41 AM","Active, Industry, Company","—","—","Building Material","Real Estate","—","—","—","—","—","—","—","—",—,"1,364","524","Feb 1, 1975","23","9,318","0%","6%","561","Mar 13, 2004","0%","Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing","1,265","1","$34,050,160,213","$465,850","$17,443,905,848","Feb 1, 1975","$11,498,677,023","$133,368,882","$34,240,396,153","$196,594,729","10%","1,051","1,524","$145,703,331,280","$230,500,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Micro VC,&nbsp;Incubator","435","554","1","178","1","50","1","23","$5,500,137,341","1,960","0","0","642,397.94","1.48","1.48","2.39"
"Financial Services Companies With Less Than $1B in Revenue (Top 10K)","9,887","968","239","516","The top 10,000 companies and startups in the financial services space with less than $1b in revenue, by Crunchbase rank.","Sep 15, 2022 11:13 AM","Active, Industry, Company, Revenue Range","—","—","Financial Services","Financial Services","—","—","—","—","—","—","—","—","$500M to $1B","21,130","6,525","Nov 12, 2000","118","8,217","1%","7%","729","May 24, 2010","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Debt Financing,&nbsp;Series A,&nbsp;Private Equity","13,611","2","$354,865,979,705","$6,204,758","$212,381,747,306","Nov 12, 2000","$56,678,820,314","$105,000,000","$291,330,942,616","$728,000,000","12%","1,354","8,791","$380,588,354,180","$316,863,353","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Investment Bank,&nbsp;Angel Group","116,281","166,346","18","48,491","8","30,875","5","5,066","$2,657,680,115,519","13,283","2","7","128,548.58","0.8","0.8","1.24"
"Commercial Real Estate Companies (Top 10K)","9,611","970","45","517","The top 10,000 companies and startups in the commercial real estate space, by Crunchbase rank.","Sep 15, 2022 10:21 AM","Active, Industry, Company","—","—","Commercial Real Estate","Real Estate","—","—","—","—","—","—","—","—",—,"1,944","599","Feb 16, 1994","58","9,259","1%","3%","357","Feb 7, 2007","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Pre-Seed,&nbsp;Debt Financing,&nbsp;Series A","1,503","1","$64,005,602,850","$2,240,551","$37,979,197,482","Feb 16, 1994","$8,154,544,791","$115,500,000","$26,534,648,611","$2,160,000,000","2%","235","379","$114,275,314,817","$400,000,000","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Micro VC,&nbsp;Investment Bank","764","952","2","231","1","147","1","101","$40,128,687,047","2,987","0","0","1,009,939.11","1.41","1.41","2.04"
"Private Canada Companies (Top 10K)","9,811","996","375","518","The top 10,000 private companies and startups in Canada, by Crunchbase rank.","Sep 15, 2022 11:18 AM","Active, Company, Location","—","—","—","—","Canada, North America","Country","—","—","—","—","—","—",—,"16,720","5,267","Mar 31, 2004","138","9,011","1%",—,"0",—,—,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A","12,656","2","$73,852,222,997","$792,308","$54,874,543,865","Mar 31, 2004",—,—,—,—,"13%","1,452","2,309","$101,827,266,411","$92,633,333","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Government Office","10,239","12,421","6","3,579","4","2,275","3","299","$57,511,540,931","11,864","771","1,384","167,001.07","0.64","0.64","1.05"
"Financial Services Companies With Less Than $500M in Revenue (Top 10K)","9,679","944","237","519","The top 10,000 companies and startups in the financial services space with less than $500m in revenue, by Crunchbase rank.","Sep 15, 2022 10:04 AM","Active, Industry, Company, Revenue Range","—","—","Financial Services","Financial Services","—","—","—","—","—","—","—","—","$100M to $500M","20,819","6,406","Jun 8, 2001","114","8,043","1%","6%","640","Oct 15, 2010","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Debt Financing,&nbsp;Series A,&nbsp;Private Equity","13,390","2","$330,880,066,593","$6,108,969","$199,968,840,612","Jun 8, 2001","$43,224,381,417","$100,000,000","$201,845,439,611","$711,262,359","12%","1,301","7,880","$296,487,258,980","$288,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Investment Bank,&nbsp;Angel Group","114,092","163,589","19","47,605","8","30,106","5","4,917","$2,397,458,270,417","13,049","2","6","128,699.22","0.81","0.81","1.24"
"New England Companies With More Than 10 Employees (Top 10K)","9,964","987","413","520","The top 10,000 companies and startups in New England with more than 10 employees, by Crunchbase rank.","Sep 15, 2022 9:11 AM","Active, Company, Employee Range, Location","—","—","—","—","New England, United States, North America","Regional Area","—","—","—","—","—",—,—,"17,078","5,734","Aug 25, 1991","329","9,020","3%","5%","637","Mar 4, 2008","1%","Venture - Series Unknown,&nbsp;Grant,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B","12,756","2","$304,628,958,939","$7,182,666","$235,154,940,357","Aug 25, 1991","$52,503,533,843","$98,000,000","$233,821,004,924","$499,000,000","20%","2,218","5,522","$625,271,762,760","$255,333,333","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Angel Group,&nbsp;Investment Bank","11,857","17,048","3","5,598","3","4,639","2","689","$509,202,657,974","9,649","1,305","2,658","232,385.86","1.01","1.01","1.64"
"Therapeutics Companies (Top 10K)","9,564","966","8","521","The top 10,000 companies and startups in the therapeutics space, by Crunchbase rank.","Sep 15, 2022 9:18 AM","Active, Industry, Company","—","—","Therapeutics","Health Care","—","—","—","—","—","—","—","—",—,"12,200","4,188","Mar 9, 2002","540","8,570","6%","5%","613","Feb 6, 2014","1%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Post-IPO Equity","9,239","2","$188,312,215,444","$10,396,485","$167,810,485,955","Mar 9, 2002","$34,685,226,920","$82,500,000","$132,032,256,623","$410,000,000","5%","541","615","$223,135,429,912","$250,000,000","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Accelerator,&nbsp;Incubator,&nbsp;Private Equity Firm","684","986","2","284","1","256","1","23","$2,446,762,868","5,548","0","0","794,712.16","1.48","1.48","2.25"
"Western US Companies With Fewer Than 10 Employees (Top 10K)","9,778","978","1,743","522","The top 10,000 companies and startups in Western US with fewer than 10 employees, by Crunchbase rank.","Sep 15, 2022 10:34 AM","Active, Company, Employee Range, Location","—","—","—","—","Western US, United States, North America","Regional Area","—","—","—","—","—",—,—,"22,926","5,100","Nov 30, 2014","91","8,519","1%","1%","144","Jun 11, 2013","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Grant","16,916","2","$41,886,522,233","$974,481","$36,689,839,341","Nov 30, 2014","$3,279,765,020","$19,000,000","$23,125,903,217","$333,945,000","6%","646","479","$25,195,502,262","$41,000,000","Venture Capital,&nbsp;Micro VC,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Angel Group","28,446","37,617","30","6,452","6","5,946","5","1,096","$135,626,461,874","16,521","2","3","102,501.39","0.57","0.57","0.85"
"Canada Companies (Top 10K)","9,831","987","378","523","The top 10,000 companies and startups in Canada, by Crunchbase rank.","Sep 15, 2022 12:14 PM","Active, Company, Location","—","—","—","—","Canada, North America","Country","—","—","—","—","—","—",—,"18,446","6,116","Oct 30, 2003","110","9,070","1%","14%","1,705","Oct 6, 2010","1%","Seed,&nbsp;Post-IPO Equity,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Pre-Seed","16,327","2","$213,204,141,997","$1,501,176","$142,666,380,556","Oct 30, 2003","$15,878,087,859","$96,133,493","$43,399,511,411","$704,000,000","13%","1,437","4,479","$254,028,742,257","$161,668,785","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Investment Bank","10,833","13,133","3","3,995","3","2,626","2","329","$174,146,877,785","12,049","770","1,383","136,853.85","0.6","0.6","0.97"
