Hub Name,Number of Organizations,Number of People,Number of Events,CB Rank (Hub),Description,Last Updated,Hub Type,Parent Organization,Disverity Spotlight (US Only),Industries,Industry Groups,Location,Location Type,Closed Year,Founded Year,Funding Status,Investment Stage,Investor Type,Number of Employees,Estimated Revenue Range,Number of Investors,Number of Lead Investors,Average Founded Date,Number of Non-Profit Companies,Number of For-Profit Companies,Percentage Non-Profit,Percentage Public Organizations,Number of IPOs,Average IPO Date,Percentage Delisted,Top Funding Types,Number of Funding Rounds,Median Number of Funding Rounds,Total Funding Amount,Median Total Funding Amount,Total Equity Funding Amount,Average Last Funding Date,Total Amount Raised in IPO,Median Amount Raised in IPO,Total IPO Valuation,Median IPO Valuation,Percentage Acquired,Number of Acquired Organizations,Number of Acquisitions,Total Acquired Price,Median Acquired Price,Top Investor Types,Number of Portfolio Companies,Number of Investments,Median Number of Investments,Number of Lead Investors.1,Median Number of Lead Investors,Number of Exits,Median Number of Exits,Number of Funds,Total Fund Raised,Number of Founders,Number of Founder Alumni,Number of Alumni,Average Rank,Average Trend Score (7D),Average Trend Score (30D),Average Trend Score (90D)
Canada Companies With Less Than $50M in Revenue (Top 10K),"9,886","1,000",273,391,"The top 10,000 companies and startups in Canada with less than $50m in revenue, by Crunchbase rank.",2022-09-15 09:42:00,"Active, Company, Location, Revenue Range",,,,,"Canada, North America",Country,,,,,,,$10M to $50M,"7,249","2,436",1997-11-09,210,"9,388",2%,6%,711,2012-03-27,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Post-IPO Equity,&nbsp;Grant,&nbsp;Series A","6,808",2,62437770336.0,1799159.0,47506312823.0,1997-11-09,4410598299.0,61800000.0,17273786503.0,700000000.0,7%,769,"1,414",28886799076.0,67450000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Incubator","4,705","5,750",4,"1,611",3,"1,009",3,148,18387641639.0,"5,986",3,5,"422,234.44",1.23,1.23,1.86
Software Companies With Fewer Than 1000 Employees (Top 10K),"9,857",972,870,392,"The top 10,000 companies and startups in the software space with fewer than 1000 employees, by Crunchbase rank.",2022-09-15 10:21:00,"Active, Industry, Company, Employee Range",,,Software,Software,,,,,,,,,,"66,198","19,872",2014-04-12,21,"9,524",0%,3%,316,2015-04-24,0%,"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","34,919",3,406033857272.0,11866754.0,380721164216.0,2014-04-12,29057526703.0,100445655.0,228206558579.0,850000000.0,13%,"1,385","3,657",154806991190.0,171500000.0,"Venture Capital,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Angel Group,&nbsp;Entrepreneurship Program","4,416","5,885",1,"1,377",1,761,1,108,16594141410.0,"21,542",0,2,"21,640.08",0.91,0.91,1.48
Greater New York Area Companies With More Than 10 Employees (Top 10K),"9,895",996,"1,020",393,"The top 10,000 companies and startups in Greater New York Area with more than 10 employees, by Crunchbase rank.",2022-09-15 09:32:00,"Active, Company, Employee Range, Location",,,,,"Greater New York Area, United States, North America",Regional Area,,,,,,,,"28,665","7,294",2000-08-06,130,"9,209",1%,5%,674,2006-11-29,1%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Private Equity","15,659",2,374024196363.0,7276479.0,283318793344.0,2000-08-06,92501825476.0,160000000.0,375188123655.0,653035000.0,17%,"1,957","7,741",695725932417.0,252500000.0,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Investment Bank,&nbsp;Hedge Fund,&nbsp;Micro VC","18,163","24,364",3,"8,314",3,"5,683",3,813,1098124537102.0,"14,124",14,24,"130,866.32",0.79,0.79,1.36
Greater Los Angeles Area Companies With More Than 10 Employees (Top 10K),"9,771",971,423,394,"The top 10,000 companies and startups in Greater Los Angeles Area with more than 10 employees, by Crunchbase rank.",2022-09-15 12:29:00,"Active, Company, Employee Range, Location",,,,,"Greater Los Angeles Area, California, United States",Regional Area,,,,,,,,"14,065","3,593",1998-12-07,139,"9,168",1%,3%,438,2008-02-10,1%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Private Equity,&nbsp;Debt Financing","8,746",2,190074671075.0,4611664.0,140406655695.0,1998-12-07,34582970515.0,98000000.0,189595512662.0,617020847.0,14%,"1,600","3,542",353020390666.0,220666666.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Angel Group,&nbsp;Corporate Venture Capital","4,591","5,904",2,"1,494",2,"1,113",2,252,161227984079.0,"9,944",4,7,"216,951.2",0.98,0.98,1.69
Wholesale Companies With Less Than $50M in Revenue (Top 10K),"9,567",807,3,395,"The top 10,000 companies and startups in the wholesale space with less than $50m in revenue, by Crunchbase rank.",2022-09-15 11:59:00,"Active, Industry, Company, Revenue Range",,,Wholesale,Commerce and Shopping,,,,,,,,,$10M to $50M,503,159,1983-02-04,16,"9,400",0%,1%,52,2008-11-30,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Series A",382,1,12264034716.0,485139.0,5660499821.0,1983-02-04,533333340.0,266666670.0,1534400000.0,767200000.0,1%,77,73,9932943548.0,167170152.0,Venture Capital,12,12,1,6,1,0,,0,,965,0,0,"995,395.61",1.55,1.55,2.59
Asia-Pacific (APAC) Companies With Fewer Than 100 Employees (Top 10K),"9,914",988,"1,196",396,"The top 10,000 companies and startups in Asia-Pacific (APAC) with fewer than 100 employees, by Crunchbase rank.",2022-09-15 10:29:00,"Active, Company, Employee Range, Location",,,,,Asia-Pacific (APAC),Regional Area,,,,,,,,"45,416","13,586",2014-10-19,40,"9,208",0%,4%,476,2014-04-13,0%,"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed","24,215",2,244560983772.0,3777852.0,220322167236.0,2014-10-19,9958057622.0,21431816.0,43733297736.0,121970441.0,5%,466,586,32493758056.0,27563275.0,"Venture Capital,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital","15,674","21,068",2,"7,001",4,"1,930",4,551,93403575339.0,"15,846",2,5,"48,509.99",0.74,0.74,1.13
West Coast Companies With More Than 50 Employees (Top 10K),"9,648",988,"2,153",397,"The top 10,000 companies and startups in West Coast with more than 50 employees, by Crunchbase rank.",2022-09-15 11:06:00,"Active, Company, Employee Range, Location",,,,,"West Coast, United States, North America",Regional Area,,,,,,,,"45,631","12,908",1999-07-10,148,"9,171",2%,9%,"1,220",2008-12-29,2%,"Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C,&nbsp;Private Equity,&nbsp;Series A","23,757",3,1157102586547.0,39530807.0,740655723787.0,1999-07-10,220867233338.0,118466666.0,1602121520166.0,899000000.0,26%,"2,933","11,709",1468950057357.0,360000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Investment Bank,&nbsp;Angel Group","31,163","45,848",2,"13,597",2,"9,629",2,729,578292243599.0,"15,436","1,125","2,230","103,913.49",0.83,0.83,1.38
Northeastern US Companies With More Than $10M in Revenue (Top 10K),"9,981",992,"1,055",398,"The top 10,000 companies and startups in Northeastern US with more than $10m in revenue, by Crunchbase rank.",2022-09-15 08:55:00,"Active, Company, Location, Revenue Range",,,,,"Northeastern US, United States, North America",Regional Area,,,,,,,$10M to $50M,"13,633","4,417",1982-04-19,291,"9,232",3%,8%,917,2006-09-10,1%,"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Post-IPO Equity,&nbsp;Debt Financing","9,265",2,480693342841.0,13164410.0,326560071140.0,1982-04-19,129460717180.0,155541666.0,598016113286.0,776058915.0,16%,"1,901","11,205",878643095847.0,460850000.0,"Private Equity Firm,&nbsp;Venture Capital,&nbsp;Investment Bank,&nbsp;Hedge Fund,&nbsp;Corporate Venture Capital","16,031","21,316",3,"7,874",2,"5,840",2,690,1349946766278.0,"8,583",608,"1,190","222,340.8",1.04,1.04,1.81
United States Product Design Companies (Top 10K),"9,593",984,38,399,"The top 10,000 companies and startups in United States in the product design space, by Crunchbase rank.",2022-09-15 10:17:00,"Active, Industry, Company, Location",,,Product Design,Design,"United States, North America",Country,,,,,,,,"1,873",570,1988-10-24,13,"9,449",0%,1%,79,2000-03-05,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Debt Financing","1,576",1,15292337260.0,634121.0,12647674546.0,1988-10-24,2966550000.0,83850000.0,9898600000.0,476000000.0,5%,478,789,99946390000.0,114400000.0,"Venture Capital,&nbsp;Accelerator,&nbsp;Incubator,&nbsp;Micro VC,&nbsp;Co-Working Space",435,476,1,111,1,89,1,7,31015000.0,"2,881",0,0,"903,378.88",1.42,1.42,2.28
Greater Los Angeles Area Companies With Fewer Than 1000 Employees (Top 10K),"9,818",991,435,400,"The top 10,000 companies and startups in Greater Los Angeles Area with fewer than 1000 employees, by Crunchbase rank.",2022-09-15 11:22:00,"Active, Company, Employee Range, Location",,,,,"Greater Los Angeles Area, California, United States",Regional Area,,,,,,,,"17,687","4,269",2005-11-20,108,"9,091",1%,3%,334,2010-11-12,1%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Pre-Seed,&nbsp;Private Equity","11,666",2,126727305887.0,1980606.0,100164376663.0,2005-11-20,18577504734.0,77895000.0,101857729873.0,604000000.0,12%,"1,341","2,303",118970552104.0,126150000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Angel Group","8,026","10,296",4,"2,314",3,"1,587",3,402,194230191131.0,"12,432",2,3,"166,788",0.83,0.83,1.39
United Kingdom Companies With Less Than $50M in Revenue (Top 10K),"9,944",992,"1,016",401,"The top 10,000 companies and startups in United Kingdom with less than $50m in revenue, by Crunchbase rank.",2022-09-15 10:26:00,"Active, Company, Location, Revenue Range",,,,,"United Kingdom, Europe",Country,,,,,,,$10M to $50M,"13,368","4,935",2003-04-17,89,"9,531",1%,2%,278,2012-08-26,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Equity Crowdfunding,&nbsp;Series A,&nbsp;Grant","11,799",2,107578110017.0,1811902.0,77513818723.0,2003-04-17,6740673092.0,46240451.0,34656949837.0,127992646.0,11%,"1,185","2,464",148937696371.0,92000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Angel Group","9,405","12,365",8,"3,899",6,"1,528",4,338,130036494544.0,"10,890",5,8,"214,697.41",0.85,0.85,1.21
Financial Services Companies With More Than 10 Employees (Top 10K),"9,917","1,001",306,402,"The top 10,000 companies and startups in the financial services space with more than 10 employees, by Crunchbase rank.",2022-09-15 09:04:00,"Active, Industry, Company, Employee Range",,,Financial Services,Financial Services,,,,,,,,,,"34,460","10,392",2002-10-11,48,"8,513",0%,10%,"1,117",2008-07-28,1%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Debt Financing,&nbsp;Series B","20,136",2,620881681577.0,9362314.0,406954342016.0,2002-10-11,123765321972.0,121000000.0,395419867918.0,734500000.0,11%,"1,252","13,794",694457806753.0,440000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","127,368","181,209",14,"58,487",9,"34,463",6,"5,280",4106491897325.0,"15,431",10,19,"70,401.29",0.78,0.78,1.2
Florida Companies With Fewer Than 50 Employees (Top 10K),"9,983",989,243,403,"The top 10,000 companies and startups in Florida with fewer than 50 employees, by Crunchbase rank.",2022-09-15 09:06:00,"Active, Company, Employee Range, Location",,,,,"Florida, United States, North America",State/Region,,,,,,,,"3,129",900,2004-10-25,139,"9,355",1%,1%,132,2011-06-12,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Grant","3,759",1,13208834777.0,700263.0,10256490037.0,2004-10-25,1495311296.0,25800000.0,37881954614.0,187000000.0,5%,544,518,5380383701.0,33500000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Angel Group,&nbsp;Family Investment Office","1,625","2,011",3,544,2,318,2,115,10993597231.0,"5,949",3,5,"430,246.09",1.32,1.32,1.98
Product Design Companies With Fewer Than 100 Employees (Top 10K),"9,390",998,49,404,"The top 10,000 companies and startups in the product design space with fewer than 100 employees, by Crunchbase rank.",2022-09-15 12:07:00,"Active, Industry, Company, Employee Range",,,Product Design,Design,,,,,,,,,,"2,721",854,1996-11-25,17,"9,221",0%,0%,47,2009-04-24,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Series A,&nbsp;Pre-Seed","2,413",1,7823319774.0,444734.0,6949389584.0,1996-11-25,593888794.0,21000000.0,334780050.0,58000000.0,4%,362,159,7309766494.0,63000000.0,"Venture Capital,&nbsp;Accelerator,&nbsp;Incubator,&nbsp;Micro VC,&nbsp;Angel Group",483,510,1,82,1,34,1,8,3620029501.0,"4,428",0,0,"743,022.15",1.54,1.54,2.29
Private New York Companies (Top 10K),"9,685",948,"1,181",405,"The top 10,000 private companies and startups in New York, by Crunchbase rank.",2022-09-15 10:09:00,"Active, Company, Location",,,,,"New York, United States, North America",State/Region,,,,,,,,"34,594","8,230",2008-12-22,91,"8,619",1%,,0,,,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Pre-Seed,&nbsp;Series B","19,055",2,208127314224.0,2993829.0,173109583547.0,2008-12-22,,,,,13%,"1,391","3,882",181878920597.0,183833333.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Hedge Fund,&nbsp;Family Investment Office","26,182","35,281",12,"9,523",5,"6,438",4,"1,100",746077050114.0,"16,214",9,14,"90,338.75",0.72,0.72,1.19
New York Companies (Top 10K),"9,766",966,"1,213",406,"The top 10,000 companies and startups in New York, by Crunchbase rank.",2022-09-15 11:04:00,"Active, Company, Location",,,,,"New York, United States, North America",State/Region,,,,,,,,"36,061","8,743",2007-12-16,85,"8,722",1%,5%,577,2008-08-15,1%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Pre-Seed,&nbsp;Series B","20,387",2,376270606178.0,3384019.0,286020302119.0,2007-12-16,72780085719.0,159333333.0,382227326581.0,777000000.0,13%,"1,423","7,032",467571463186.0,230000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Hedge Fund,&nbsp;Investment Bank","28,762","38,285",9,"10,864",4,"7,585",3,"1,235",1258793788377.0,"16,442",10,15,"84,218.7",0.71,0.71,1.18
"Venture Capital Investors with Investments in Vancouver, British Columbia",659,74,24,406,"Venture capital investors that made investments in companies headquartered in Vancouver, British Columbia.",2022-09-15 12:18:00,"Active, Investments in Location, Investor Type",,,,,"Vancouver, British Columbia, Canada",City,,,,,,,,209,46,2006-04-07,1,103,0%,2%,15,1998-07-08,0%,"Seed,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Series B",141,1,3921718635.0,3750.0,1331342843.0,2006-04-07,2633448780.0,1316724390.0,347638952.0,347638952.0,1%,5,277,980755296.0,490377648.0,"Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","61,848","89,949",42,"24,107",12,"15,464",8,"1,696",538791673675.0,"1,005",4,6,"201,363.76",0.85,0.85,0.99
Greater New York Area Companies With Fewer Than 1000 Employees (Top 10K),"9,576",961,"1,114",407,"The top 10,000 companies and startups in Greater New York Area with fewer than 1000 employees, by Crunchbase rank.",2022-09-15 12:11:00,"Active, Company, Employee Range, Location",,,,,"Greater New York Area, United States, North America",Regional Area,,,,,,,,"35,076","8,427",2010-02-10,70,"8,730",1%,4%,421,2011-05-11,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Pre-Seed,&nbsp;Series B","19,873",2,247257330119.0,3324760.0,201565152030.0,2010-02-10,33590925718.0,98000000.0,151473997036.0,500000000.0,13%,"1,395","4,131",195189238445.0,160000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Hedge Fund,&nbsp;Family Investment Office","23,997","32,318",12,"8,910",5,"5,974",4,"1,088",944523308609.0,"16,301",9,18,"87,800.59",0.71,0.71,1.16
European Union (EU) Companies With More Than $1M in Revenue (Top 10K),"9,999",966,"1,716",408,"The top 10,000 companies and startups in European Union (EU) with more than $1m in revenue, by Crunchbase rank.",2022-09-15 11:47:00,"Active, Company, Location, Revenue Range",,,,,"European Union (EU), Europe",Regional Area,,,,,,,$1M to $10M,"18,765","6,443",1997-06-24,49,"9,648",0%,7%,883,2009-08-01,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Series A,&nbsp;Private Equity","14,583",2,343710943811.0,2298646.0,221911018598.0,1997-06-24,49487462341.0,99700000.0,244707112442.0,717903680.0,17%,"1,953","9,806",488530217774.0,200000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Corporate Venture Capital,&nbsp;Micro VC","12,878","17,241",3,"5,761",3,"3,035",2,527,354078290703.0,"13,798",9,15,"143,397.02",0.7,0.7,0.98
Georgia Companies With Less Than $1B in Revenue (Top 10K),"9,532",984,91,409,"The top 10,000 companies and startups in Georgia with less than $1b in revenue, by Crunchbase rank.",2022-09-15 09:03:00,"Active, Company, Location, Revenue Range",,,,,"Georgia, United States, North America",State/Region,,,,,,,$500M to $1B,"2,245",836,1994-05-02,220,"8,972",2%,1%,87,2007-04-28,0%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Grant","2,260",1,32071462444.0,1998918.0,22951115362.0,1994-05-02,7877842862.0,114000000.0,31124569926.0,355600110.0,4%,464,953,90254705054.0,350000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital",994,"1,409",3,494,4,254,2,43,2718544102.0,"3,381",2,3,"680,906.57",1.5,1.5,2.18
Commercial Real Estate Companies With More Than $1M in Revenue,"5,914",985,37,410,Companies and startups in the commercial real estate space with more than $1m in revenue.,2022-09-15 09:20:00,"Active, Industry, Company, Revenue Range",,,Commercial Real Estate,Real Estate,,,,,,,,,$1M to $10M,986,305,1990-05-25,23,"5,771",0%,2%,126,2007-03-29,0%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Debt Financing,&nbsp;Post-IPO Equity,&nbsp;Series A",726,2,51355225630.0,9029166.0,29979343384.0,1990-05-25,4112231834.0,220000000.0,21121916635.0,2120000000.0,1%,74,267,27512326027.0,283500000.0,"Private Equity Firm,&nbsp;Micro VC,&nbsp;Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Entrepreneurship Program",333,394,2,87,1,74,1,50,18105946854.0,"1,411",0,0,"1,184,778.56",1.38,1.38,1.98
Asia-Pacific (APAC) Companies With Less Than $1B in Revenue (Top 10K),"9,650",986,"1,059",411,"The top 10,000 companies and startups in Asia-Pacific (APAC) with less than $1b in revenue, by Crunchbase rank.",2022-09-15 12:33:00,"Active, Company, Location, Revenue Range",,,,,Asia-Pacific (APAC),Regional Area,,,,,,,$500M to $1B,"32,067","11,529",2008-02-09,47,"9,318",0%,13%,"1,359",2011-07-13,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Post-IPO Equity","20,199",2,626503919528.0,5058103.0,507285387372.0,2008-02-09,76903048222.0,89927083.0,515591113061.0,733000000.0,10%,988,"2,623",157722146233.0,100000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","18,008","22,153",2,"7,602",2,"2,727",2,573,149136493800.0,"14,449",5,10,"95,804.65",0.64,0.64,0.94
Georgia Companies With More Than 10 Employees (Top 10K),"9,805",990,92,412,"The top 10,000 companies and startups in Georgia with more than 10 employees, by Crunchbase rank.",2022-09-15 10:26:00,"Active, Company, Employee Range, Location",,,,,"Georgia, United States, North America",State/Region,,,,,,,,"2,608",975,1990-12-27,328,"9,014",3%,1%,181,2003-09-02,0%,"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Series A,&nbsp;Debt Financing","2,416",1,45970379560.0,3319064.0,31370295521.0,1990-12-27,21659870236.0,114000000.0,46454387009.0,484500000.0,9%,"1,039","1,769",190965887108.0,275000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Family Investment Office,&nbsp;Incubator",794,"1,084",2,365,1,269,2,54,4104340202.0,"3,547",6,7,"625,677.83",1.41,1.41,2.14
New York Companies With More Than 10 Employees (Top 10K),"9,909",984,"1,032",413,"The top 10,000 companies and startups in New York with more than 10 employees, by Crunchbase rank.",2022-09-15 11:53:00,"Active, Company, Employee Range, Location",,,,,"New York, United States, North America",State/Region,,,,,,,,"28,256","7,122",2000-01-07,163,"9,153",2%,5%,605,2007-01-16,1%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Private Equity","15,400",2,361206704386.0,6715256.0,274334175225.0,2000-01-07,78013428159.0,155166666.0,382742179225.0,763500000.0,17%,"1,902","7,238",603712541485.0,219666666.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Hedge Fund,&nbsp;Micro VC","18,867","25,476",3,"8,420",3,"5,771",3,849,1213159167602.0,"13,917",11,16,"141,730.82",0.81,0.81,1.38
India Companies Founded in the Last Year,848,81,2,414,Companies and startups founded within the last year in India.,2022-09-15 11:37:00,"Active, Company, Founded Year, Location",,,,,"India, Asia",Country,,,,,,,,271,96,2022-02-07,35,760,4%,,0,,,"Pre-Seed,&nbsp;Seed,&nbsp;Angel,&nbsp;Series A,&nbsp;Venture - Series Unknown",174,1,1908816795.0,55000.0,1608699195.0,2022-02-07,,,,,0%,2,1,,,"Angel Group,&nbsp;Private Equity Firm,&nbsp;Venture Capital,&nbsp;Accelerator,&nbsp;Micro VC",9,10,2,4,1,1,1,3,1635000000.0,793,0,0,"776,639.89",2.1,2.1,3.28
Information Technology Companies With Fewer Than 100 Employees (Top 10K),"9,353",963,"1,883",415,"The top 10,000 companies and startups in the information technology space with fewer than 100 employees, by Crunchbase rank.",2022-09-15 10:17:00,"Active, Industry, Company, Employee Range",,,Information Technology,Information Technology,,,,,,,,,,"35,113","10,748",2015-02-08,36,"8,903",0%,2%,208,2014-02-28,0%,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Pre-Seed,&nbsp;Series B","24,225",2,130859777799.0,3003459.0,118091577409.0,2015-02-08,2516875444.0,11737793.0,16942436051.0,77860000.0,9%,851,"1,136",40552669011.0,68000000.0,"Venture Capital,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital","8,076","10,089",9,"2,919",5,"1,289",4,282,28531838982.0,"17,908",1,1,"51,705.18",0.69,0.69,1.07
Georgia Companies With Less Than $500M in Revenue (Top 10K),"9,486",982,90,416,"The top 10,000 companies and startups in Georgia with less than $500m in revenue, by Crunchbase rank.",2022-09-15 13:03:00,"Active, Company, Location, Revenue Range",,,,,"Georgia, United States, North America",State/Region,,,,,,,$100M to $500M,"2,223",829,1994-07-01,216,"8,932",2%,1%,73,2008-02-22,0%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Grant","2,239",1,30825062444.0,1989798.0,22411615362.0,1994-07-01,6230610862.0,66000000.0,28316549434.0,348000000.0,4%,447,836,67064705054.0,300000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital",961,"1,373",3,480,4,239,2,43,2718544102.0,"3,347",2,3,"682,684.69",1.5,1.5,2.18
Western US Health Care Companies (Top 10K),"9,976",995,123,417,"The top 10,000 companies and startups in Western US in the health care space, by Crunchbase rank.",2022-09-15 12:58:00,"Active, Industry, Company, Location",,,Health Care,Health Care,"Western US, United States, North America",Regional Area,,,,,,,,"18,299","5,234",2003-01-11,541,"8,771",5%,4%,542,2011-12-17,1%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","13,703",2,213702589611.0,3980934.0,182456979859.0,2003-01-11,38478291424.0,84000000.0,176106777231.0,424048179.0,12%,"1,299","1,449",362210907129.0,251494343.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Micro VC","4,845","7,577",2,"2,245",2,"1,871",2,156,62830846850.0,"10,169",7,11,"250,162.46",0.99,0.99,1.55
Wellness Companies With Less Than $10M in Revenue (Top 10K),"9,800",995,15,418,"The top 10,000 companies and startups in the wellness space with less than $10m in revenue, by Crunchbase rank.",2022-09-15 12:30:00,"Active, Industry, Company, Revenue Range",,,Wellness,Health Care,,,,,,,,,$1M to $10M,"4,812","1,287",2001-07-19,736,"8,882",8%,1%,66,2015-10-06,,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Grant","3,516",2,19158229091.0,1315237.0,17770355537.0,2001-07-19,424686350.0,40000000.0,1167945049.0,127503827.0,2%,194,188,3210411453.0,32000000.0,"Venture Capital,&nbsp;Micro VC,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Angel Group",716,923,9,271,5,127,6,38,2725514828.0,"3,555",1,1,"1,016,996.79",1.46,1.46,2.22
Europe Manufacturing Companies (Top 10K),"10,000",995,34,419,"The top 10,000 companies and startups in Europe in the manufacturing space, by Crunchbase rank.",2022-09-15 10:39:00,"Active, Industry, Company, Location",,,Manufacturing,Manufacturing,Europe,Continent,,,,,,,,"6,032","2,504",1975-01-30,7,"9,650",0%,5%,638,2006-08-15,0%,"Grant,&nbsp;Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing","5,520",1,74078445673.0,588851.0,42187925429.0,1975-01-30,14748409382.0,100000000.0,48375409094.0,399479233.0,19%,"2,501","4,254",354387459037.0,193864765.0,"Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Co-Working Space",657,782,1,318,1,154,1,2,53913180.0,"5,158",1,1,"310,844.39",1.12,1.12,1.69
Europe Companies With More Than $10M in Revenue (Top 10K),"9,689",979,"2,110",420,"The top 10,000 companies and startups in Europe with more than $10m in revenue, by Crunchbase rank.",2022-09-15 12:47:00,"Active, Company, Location, Revenue Range",,,,,Europe,Continent,,,,,,,$10M to $50M,"10,225","4,195",1981-10-28,102,"9,266",1%,11%,"1,276",2008-07-08,1%,"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Post-IPO Equity,&nbsp;Grant","7,863",1,524261191899.0,7094966.0,310037394675.0,1981-10-28,73331797428.0,150487819.0,393837094567.0,1253000000.0,16%,"1,881","15,402",1206468118838.0,404182849.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Corporate Venture Capital,&nbsp;Government Office","12,651","16,372",3,"5,715",2,"3,340",2,428,588844027154.0,"8,189",19,26,"203,944.43",0.94,0.94,1.47
